,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2009-4,38.9,1.12,0.53,0.41,0.1205,-0.0034,17.5969,19.0751,38.078,1528297542.32,,290284594.56,,269420960.23,,36.9798,,52.1103,1.3366,0.8536,2.0881,1.0998,47.8897,0.4325,148.4475,101.7984,83.5732,166.6727,250.2459,0.9225,2.4251,3.5364,4.3076,1.3329,3.9122
2010-4,12.19,1.27,-0.04,0.15,0.1205,0.1332,6.578,10.2466,37.2682,1104510349.28,-27.7294,105754920.94,-63.5685,85847807.34,-68.1362,11.8864,88.5495,49.239,1.4775,0.6861,1.97,0.9875,50.761,-0.0321,272.2529,139.5511,151.3686,260.4354,411.804,0.642,1.3223,2.5797,2.3783,0.9094,2.8377
2011-4,20.71,1.29,0.08,0.27,-0.0007,0.2655,9.6879,10.6664,32.1564,1916750366.2,73.5385,188213048.95,77.971,179995507.64,109.6681,20.9019,114.5989,60.1049,1.2489,0.6695,2.5066,1.6262,39.8951,0.0377,204.2321,112.216,113.3144,203.1337,316.4481,0.9083,1.7627,3.2081,3.177,1.2392,4.7416
2012-3,,,0.4902,,,,,13.0233,36.4485,1640373000.0,,211839000.0,,210777900.0,,,,,,,,,,,,,,,,,,,,,
2012-4,29.36,1.47,0.63,0.42,-0.0005,0.4151,11.3431,13.3609,37.556,2198251817.5,14.6864,291555170.53,54.907,284548789.51,58.0866,28.2603,138.0059,59.9855,1.2957,0.7852,2.4991,1.5945,40.0145,0.2691,214.0309,128.8383,116.5803,226.2889,342.8692,0.849,1.682,2.7942,3.088,1.1203,5.2705
2013-1,9.94,,0.1017,0.16,,,,21.1832,45.3471,518577583.64,,108805909.33,,108294215.84,,,,,,,,,,,,,,,,,,,,,
2013-2,18.75,1.77,0.12,0.3,-0.0005,0.6871,7.9646,18.1348,46.1809,1186571184.36,,212932306.72,,200165724.1,,17.1733,177.3118,51.2888,1.4925,0.8475,2.0529,1.1008,48.7112,0.06,232.288,128.3148,122.399,238.2038,360.6028,0.4392,0.7749,1.4028,1.4706,0.5756,2.915
2013-3,,1.6211,0.2438,,,,12.4798,19.8367,45.7386,1800716275.64,9.7748,353726833.76,66.9791,335797900.0,59.3136,31.1725,226.2604,,,,,,,,,,,,,0.6291,,,,,
2013-4,40.3,1.7876,0.5885,0.67,-0.0006,0.675,16.7734,19.3587,44.9761,2458060288.43,11.8189,471532258.04,61.73,453824328.73,59.4891,37.6825,178.4428,55.3303,1.3944,0.8599,2.2387,1.2963,44.6697,0.254,220.0893,129.5896,125.1043,224.5746,349.6789,0.8665,1.6357,2.778,2.8776,1.1296,6.0647
2014-1,6.39,2.9655,0.2178,0.18,1.0522,0.81,3.9175,22.0331,41.8151,601475946.87,15.9857,130039632.34,19.5152,125469087.78,15.8595,5.8468,187.6277,40.3959,2.062,1.4739,1.6777,0.6964,59.6041,0.1055,214.2347,153.6361,135.0135,232.8573,367.8708,0.1778,0.4201,0.5858,0.6666,0.2236,1.5212
2014-2,12.16,2.7786,0.2339,0.34,1.0522,0.5878,7.7437,20.5992,44.13,1247164710.33,5.1066,251970606.15,18.3337,247424780.73,24.493,12.0909,185.988,42.1396,1.9685,1.0489,1.7283,0.7489,57.8604,0.1124,218.0761,144.3349,129.4498,232.9612,362.411,0.3759,0.8254,1.2471,1.3905,0.4787,3.1354
2014-3,19.0,2.9747,0.2975,0.54,1.0523,0.7683,11.5207,21.0782,44.1329,1933796590.06,7.3904,400344757.0,13.1791,388240771.81,15.6174,17.9444,178.2388,44.6901,1.8788,1.0833,1.808,0.8302,55.3099,0.1204,216.2768,147.8075,137.5866,226.4977,364.0843,0.5466,1.2484,1.8267,1.9624,0.6881,4.211
2014-4,25.72,3.1862,0.5686,0.75,1.0523,0.9687,16.3286,20.9237,45.1484,2734278822.59,11.2373,563959403.81,19.6014,539816998.82,18.9484,23.6004,174.8711,39.8528,2.0827,0.9899,1.6626,0.6798,60.1472,0.2625,197.4225,142.5968,127.222,212.7973,340.0193,0.7804,1.8235,2.5246,2.8297,0.9946,5.9318
2015-1,5.13,3.3634,0.223,0.17,1.0523,1.1366,3.026,24.9967,47.5109,499335286.78,-16.9817,125877650.34,-3.2005,119053228.69,-5.1135,4.9901,150.5963,38.1002,2.1749,0.934,1.6155,0.6304,61.8998,0.1052,297.3241,201.4775,193.7567,305.0449,498.8016,0.1211,0.3027,0.4467,0.4645,0.1516,0.9617
2015-2,9.58,3.1014,0.2119,0.31,1.0523,0.8562,5.6215,18.8425,41.4855,1238217977.32,-0.7174,234037746.51,-7.117,213107032.01,-13.87,10.0615,124.4994,43.4935,1.8522,0.8937,1.7697,0.79,56.5065,0.0865,206.5404,173.9803,134.7003,245.8204,380.5207,0.2983,0.8715,1.0346,1.3363,0.3763,2.4214
2015-3,13.58,3.2564,0.2165,0.44,1.0559,0.974,8.0871,19.4855,40.4277,1687289541.48,-12.7473,328920087.72,-17.8408,264746089.51,-31.8088,13.4676,121.4626,38.2291,2.0814,0.9899,1.6189,0.6347,61.7709,0.1048,234.314,187.6564,142.3525,279.6179,421.9704,0.415,1.1523,1.4388,1.8967,0.5313,2.9341
2015-4,14.17,3.2431,0.3762,0.46,1.0575,0.9439,8.5611,16.0033,41.6155,2149882618.34,-21.373,342143811.79,-39.3318,285534451.36,-47.1053,14.0664,88.114,37.1599,2.1375,1.0123,1.5913,0.6052,62.8401,0.1917,260.379,180.4421,145.1379,295.6832,440.8211,0.535,1.3826,1.9951,2.4804,0.6918,3.5718
2016-1,2.72,3.3243,0.0196,0.09,1.0592,1.0331,1.6115,12.9209,38.4834,500251768.19,0.1835,66884373.43,-46.8656,61358002.6,-48.4617,2.6826,75.1333,37.2457,2.1518,1.0638,1.5935,0.6066,62.7543,0.0097,296.7359,182.5558,149.2785,330.0132,479.2917,0.1247,0.3033,0.493,0.6029,0.1662,0.7234
2016-2,5.6,3.1847,0.1965,0.19,1.0605,0.8595,3.3147,12.5389,36.5124,1072214247.73,-13.4067,140204533.66,-40.0932,132947254.85,-37.6148,5.8699,71.0285,41.1854,1.9208,0.9842,1.7003,0.7156,58.8146,0.0862,266.8643,157.5354,116.7088,307.6909,424.3997,0.2644,0.6745,1.1426,1.5423,0.3518,1.539
2016-3,7.83,3.262,0.3031,0.26,1.0619,0.9219,4.649,12.3637,35.1595,1501869643.86,-10.9892,193550499.95,-41.1558,178015578.18,-32.7599,7.9113,66.307,37.9904,2.0783,0.9551,1.6127,0.6253,62.0096,0.1486,289.4821,167.2241,127.956,328.7502,456.7062,0.376,0.9327,1.6146,2.1101,0.5023,2.1537
2016-4,9.0,3.3012,0.3641,0.29,1.0633,0.9509,5.2883,10.3464,35.403,2045455489.83,-4.8573,219483572.95,-35.8505,195308353.24,-31.599,8.8648,51.811,37.5285,2.1039,0.962,1.6007,0.6127,62.4715,0.18,287.3334,167.9575,130.2083,325.0826,455.2909,0.5111,1.2529,2.1434,2.7648,0.6825,2.9354
2017-1,2.08,3.3653,0.0611,0.07,1.0647,1.0169,1.257,9.7218,32.0469,521579606.13,4.2634,52023692.93,-22.2185,47616273.71,-22.396,2.0612,59.4781,36.112,2.1948,0.9744,1.5652,0.576,63.888,0.0315,282.841,160.6856,123.2033,320.3233,443.5266,0.1293,0.3182,0.5601,0.7305,0.1716,0.7335
2017-2,4.04,3.2676,0.2303,0.14,1.0661,0.9087,2.4084,8.5486,32.1904,1169714935.06,9.0934,101823504.07,-27.375,94411967.47,-28.9854,4.1549,64.9086,41.3786,1.9424,0.9686,1.7059,0.7195,58.6214,0.098,249.7572,147.7105,116.777,280.6907,397.4677,0.2817,0.7207,1.2186,1.5414,0.3698,1.6595
2017-3,6.2,3.337,0.2687,0.21,1.0675,0.9753,3.6265,8.6996,31.3028,1743512860.43,16.0895,155569516.02,-19.6233,129695634.57,-27.1437,6.2159,58.2,41.0513,1.9685,0.8394,1.6964,0.709,58.9487,0.1136,244.7204,149.2537,114.7569,279.2172,393.9741,0.4169,1.1033,1.809,2.3528,0.5453,2.491
2017-4,8.31,3.4119,0.3946,0.28,1.0689,1.0479,4.9016,8.4606,31.3194,2395169023.57,17.0971,209177293.01,-4.6957,178883439.91,-8.4097,8.1745,55.9459,38.441,2.1046,0.8912,1.6245,0.6349,61.559,0.1822,230.0319,148.6252,109.3826,269.2745,378.6571,0.5793,1.565,2.4222,3.2912,0.7595,3.4222
2018-1,1.64,3.4596,0.1041,0.06,1.0703,1.1041,0.9288,6.8667,29.7974,594911977.0,14.0597,42179061.29,-18.9234,33021664.33,-30.6505,1.6256,57.8212,42.315,1.951,0.9884,1.7336,0.7453,57.685,0.0404,221.8388,156.7398,115.6961,262.8825,378.5786,0.1353,0.4057,0.5742,0.7779,0.1723,0.8809
2018-2,4.39,3.4207,0.1318,0.15,1.0717,1.0269,2.5767,8.2526,30.7155,1388789088.41,18.7288,115077409.67,13.0165,107600797.11,13.9694,4.4856,66.1512,44.1549,1.8723,0.9844,1.7907,0.8037,55.8451,0.0479,188.5607,148.3557,108.1406,228.7758,336.9164,0.3122,0.9546,1.2133,1.6645,0.3967,2.0593
2018-3,7.67,3.5514,0.137,0.27,1.0731,1.128,4.4274,9.6869,32.6651,2072063763.5,18.8442,201830914.55,29.7368,181376126.77,39.8475,7.5776,73.5003,44.1167,1.8748,0.9174,1.7894,0.8018,55.8833,0.0481,203.1756,154.9676,,358.1432,358.1432,0.4571,1.3289,1.7423,,0.58,3.0645
