,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2016-4,23.45,2.75,0.62,0.58,,,17.7296,30.364,44.3562,113941810.18,,34597280.8,,33780200.0,,20.992,,15.5414,4.5549,3.3562,1.184,0.184,84.4586,1.2299,84.5309,111.4551,108.9786,87.0074,195.986,0.5839,4.2588,3.23,3.3034,0.8488,2.6365
2017-4,20.57,3.38,0.55,0.63,,,17.5227,26.0315,46.5084,145138691.95,27.3797,37781803.91,9.2045,37142600.0,9.9538,18.6227,264.3319,14.0673,5.3332,4.6523,1.1637,0.1637,85.9327,0.9998,77.3578,103.5643,89.7263,91.1958,180.9221,0.6731,4.6537,3.4761,4.0122,0.9467,3.316
2018-4,20.73,4.02,0.61,0.77,,,17.8468,27.4521,42.2929,167733372.7,15.5676,46046279.07,21.8742,44253000.0,19.1435,19.0725,210.1458,13.753,4.7198,3.4478,1.1595,0.1595,86.247,0.9462,81.5254,112.7608,84.5229,109.7633,194.2862,0.6501,4.4158,3.1926,4.2592,0.9539,3.1918
2019-1,,,,,,,,23.8472,,43078900.0,,10273100.0,,9967800.0,,,,,,,,,,,,,,,,,,,,,
2019-2,11.3,4.51,0.59,0.48,1.1769,2.1315,9.7226,32.7465,42.0089,88268951.39,,28904994.09,,22530000.0,,10.6924,247.0065,14.0891,4.7415,2.0153,1.164,0.164,85.9109,0.8028,108.5645,114.9205,103.7404,119.7446,223.485,0.2969,1.658,1.5663,1.7351,0.4559,1.2711
2019-3,,,0.8772,0.76,,,,33.6525,43.0848,135713579.85,,45670963.49,,,,,,,,,,,,,,,,,,,,,,,
2019-4,21.96,5.02,1.24,0.99,1.1769,2.5432,19.3172,32.6371,43.5511,182504273.29,8.8062,59564081.13,29.357,51519200.0,16.4197,19.7893,264.5504,10.624,6.5848,4.5457,1.1189,0.1189,89.376,2.0789,95.6938,106.9455,86.8139,115.8254,202.6393,0.5919,3.762,3.3662,4.1468,0.8861,2.6549
2020-1,3.26,,0.3786,0.166,,,2.9321,31.2088,43.7526,32009705.91,-25.6952,9989843.03,-2.7573,9553569.2,-4.1557,,-547.5523,9.7699,,,1.1083,,90.2301,0.6746,,,,,,0.0939,,,,,0.8346
2020-2,7.59,5.4125,0.5351,0.4,1.1769,2.9392,6.7819,29.3914,43.8267,80834011.09,-8.4231,23758245.63,-17.8057,22518300.0,-0.0519,7.3159,224.7514,10.7516,6.7817,5.1475,1.1205,0.1205,89.2484,0.8206,118.6318,117.8319,101.135,135.3287,236.4637,0.2307,1.5173,1.5276,1.7798,0.3265,1.029
2020-3,8.06,8.5978,0.4268,0.54,4.9327,2.4428,8.0573,28.9384,45.1079,148005776.07,9.0575,42830501.88,-6.2194,41038523.09,,6.227,266.0146,5.3076,16.378,13.4719,1.0561,0.0561,94.6924,0.8855,99.5062,114.2906,81.7587,132.0381,213.7968,0.2784,2.7134,2.3624,3.3024,0.3451,1.9777
2020-4,14.97,8.8452,0.5874,0.963,4.9327,2.6119,11.6131,28.9465,43.5466,216351032.22,18.5457,62626061.05,5.1406,55886910.27,8.4779,8.8503,284.0305,4.6038,18.7651,14.4964,1.0483,0.0483,95.3962,1.3759,90.8357,111.3069,65.6551,136.4875,202.1426,0.4012,3.9632,3.2343,5.4832,0.5004,2.7353
2021-1,3.35,9.1464,0.3165,0.301,4.9327,2.9131,3.1762,34.0861,42.9757,70680421.39,120.8093,24092179.59,141.1667,21342994.08,123.4034,3.2926,301.2385,5.6214,15.4435,10.2208,1.0596,0.0596,94.3786,0.581,83.3411,104.4205,54.2005,133.5611,187.7616,0.0932,1.0799,0.8619,1.6605,0.1091,0.8568
2021-2,6.99,4.58,0.1671,0.5331,2.1225,1.3026,6.5569,30.4752,42.3826,160938066.94,99.097,49046123.53,106.4383,42514201.31,88.7979,7.0401,273.5729,7.6356,11.2098,6.7861,1.0827,0.0827,92.3644,0.4409,86.1574,103.2939,55.8001,133.6512,189.4513,0.2152,2.0892,1.7426,3.2258,0.2532,1.8846
2021-3,9.94,4.7269,0.402,0.6328,2.1225,1.4462,9.3598,29.7994,42.3794,237834766.4,60.6929,70873432.95,65.4742,63729088.68,55.2909,9.8642,257.3292,7.0094,12.1026,9.4848,1.0754,0.0754,92.9906,1.1281,87.8506,95.9488,53.09,130.7094,183.7994,0.3141,3.0734,2.814,5.0857,0.3722,2.7267
