,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2000-4,76.74,1.65,1.33,,0.278,0.3049,24.445,20.0275,37.3025,791564509.53,,151375936.28,,158485334.34,,76.46,,67.8708,1.3411,0.7426,3.1124,2.2232,32.1292,,132.4406,29.7182,15.21,146.9488,162.1588,1.2206,2.7182,12.1138,23.6686,1.4251,18.3562
2001-4,33.53,2.33,-0.15,0.66,0.2914,0.8482,13.4652,15.7073,32.0854,530855473.54,-32.9359,79761923.22,-47.3087,81871443.84,-48.3413,28.55,,49.7262,1.8344,0.7675,1.9891,1.0502,50.2738,,216.5023,33.3522,15.8709,233.9836,249.8545,0.8573,1.6628,10.7939,22.683,1.0093,11.7757
2002-4,45.28,2.86,2.41,1.36,0.293,1.1487,24.2407,16.7972,33.1154,1026743480.41,93.413,163540227.45,105.0355,168324837.83,105.5965,47.61,362.704,55.7628,1.513,0.8316,2.2605,1.3523,44.2372,0.622,135.9568,11.135,19.3207,127.7711,147.0918,1.4431,2.6479,32.3306,18.6329,1.763,12.2829
2003-2,64.39,5.99,4.145,2.72,0.707,3.8666,30.8817,24.8391,35.1552,1399817418.8,,326156245.59,,325728742.13,,45.34,657.7031,46.6187,1.9506,1.3881,1.8733,0.9196,53.3813,0.752,59.8563,4.6645,21.2029,43.3179,64.5208,1.2433,3.0072,38.5893,8.4894,1.4626,11.0477
2003-3,,10.38,2.8864,,6.0195,3.0445,24.1157,22.5602,36.3258,1680633060.28,,355365063.71,,349382975.76,,21.14,526.157,25.5774,3.7483,2.9727,1.3437,0.3517,74.4226,0.7909,87.0154,5.6372,31.6968,60.9558,92.6526,1.0689,3.1029,47.8961,8.5182,1.2009,13.2229
2003-4,37.41,10.59,3.63,2.76,6.0234,1.8716,26.4887,19.7926,41.6506,2091716999.71,103.7234,389752968.48,138.3224,382536282.99,127.2607,22.71,324.4867,23.4976,4.0139,3.2062,1.3071,0.314,76.5024,1.0902,94.6099,5.0137,39.5079,60.1157,99.6236,1.3383,3.8051,71.8029,9.1121,1.5271,16.2484
2004-1,,10.84,0.4919,,,,1.7965,16.3823,38.6365,257893436.39,,40278036.77,,39121257.66,,2.29,-77.5066,,,,,,,,,,,,,0.1097,,,,,
2004-2,5.7,10.31,1.5126,0.62,6.0234,2.4929,4.7204,13.7833,33.3521,801094638.04,-42.7715,100642354.95,-69.1429,96076052.49,-70.5043,6.02,275.1484,27.175,3.4609,2.9407,1.3732,0.388,72.825,0.378,108.9127,8.129,73.272,43.7697,117.0417,0.3425,1.6527,22.143,2.4566,0.3782,5.5977
2004-3,,10.72,2.1117,,6.0275,2.893,7.5741,14.0803,32.3403,1350033863.31,-19.6711,165460412.4,-53.4393,159638801.82,-54.3084,9.53,293.4501,33.2645,2.836,2.475,1.4985,0.5224,66.7355,0.3772,87.2995,10.9803,67.0558,31.224,98.2798,0.5379,3.0928,24.5894,4.0265,0.5897,9.0089
2004-4,12.7,11.12,0.64,1.36,6.0943,2.9693,9.8353,12.4338,29.9755,2027152094.51,-3.0867,220237743.09,-43.493,207152878.05,-45.8475,12.22,205.1491,32.8663,2.8293,2.4659,1.4896,0.5167,67.1337,0.1118,81.4756,16.1114,66.3533,31.2337,97.587,0.791,4.4185,22.3444,5.4255,0.8756,12.2018
