,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2011-4,-13.57,1.0527,-0.2391,,0.182,-0.1293,-8.6017,-9.1831,71.4666,19299500.0,,-1520700.0,,-1535703.74,,-12.0381,,35.1547,2.3244,2.2238,1.5421,0.5734,64.8453,-0.3962,22.0637,175.7383,52.456,145.346,197.802,0.9367,16.3164,2.0485,6.8629,1.1463,20.6943
2012-4,76.79,2.1099,1.0213,,0.1092,0.8973,47.9072,25.9828,70.7726,81482700.0,322.2011,21565100.0,1518.1035,20129501.83,1410.7673,51.1052,56.3582,37.2508,2.3614,2.3065,1.5936,0.5984,62.7492,0.809,10.7712,67.8771,57.074,21.5743,78.6483,1.8438,33.4226,5.3037,6.3076,2.1321,59.4092
2013-4,63.53,1.94,0.25,0.88,0.5537,0.3421,37.2176,31.3225,64.7353,139831968.17,71.6094,43939345.8,103.7521,36121850.24,79.4473,37.8341,92.4718,30.584,4.0093,3.8225,1.4406,0.4413,69.416,0.2875,18.0546,103.7255,110.0816,11.6985,121.7801,1.1882,19.9395,3.4707,3.2703,1.3519,77.0708
2014-4,33.32,2.71,0.42,0.77,0.5537,1.0383,20.1887,20.2335,45.8286,227175355.82,62.4631,46439184.78,5.6893,37215917.91,3.0288,28.5646,97.7213,43.533,2.3276,2.042,1.7709,0.7706,56.467,0.1993,30.7353,129.3336,98.5276,61.5413,160.0689,0.9978,11.7129,2.7835,3.6538,1.262,76.5709
2015-3,,,-0.7725,0.4223,,,,16.538,52.2047,146942998.43,,25337947.63,,,,,,,,,,,,,,,,,,,,,,,
2015-4,27.46,3.57,0.68,0.86,0.5497,1.8131,15.3175,22.6056,53.1043,225125764.6,-0.9022,51728004.13,11.3887,43609358.43,17.1793,24.1651,82.3409,42.2938,2.0892,1.8205,1.7329,0.7443,57.7062,0.2555,29.4483,179.982,177.1043,32.326,209.4303,0.6776,12.2248,2.0002,2.0327,0.9818,50.0991
2016-1,-0.56,,-0.4085,-0.02,,,,-7.6796,52.9656,20941065.45,,-1190970.2,,-3663785.34,,,,,,,,,,,,,,,,,,,,,
2016-2,8.0,3.87,-0.55,0.3,0.5497,2.1106,4.4593,18.0241,55.5277,95588338.33,,17846659.53,,12760982.97,67.4803,7.6956,56.4356,40.1423,2.2624,2.138,1.6706,0.6855,59.8577,-0.2073,0.4154,260.078,260.1156,0.3778,260.4934,0.2474,433.3535,0.6921,0.692,0.385,20.5976
2016-3,15.17,4.1535,-0.7142,0.5858,0.5497,2.3989,8.5992,21.2985,55.1964,158101157.13,7.5935,35148446.7,38.7186,30005105.48,,14.104,74.7246,37.4303,2.459,2.3427,1.5982,0.6105,62.5697,-0.2817,0.5038,257.2654,250.2317,7.5375,257.7692,0.4037,535.9341,1.0495,1.079,0.6273,33.5039
2016-4,18.88,5.9992,0.1986,0.82,2.8348,1.943,10.713,21.952,55.6258,235640231.16,4.6705,52070995.55,0.6631,44096531.33,1.1171,10.8496,75.0325,17.4304,4.0437,3.0549,1.2111,0.2139,82.5696,0.1547,0.721,203.9545,219.8742,-15.1987,204.6755,0.488,499.2759,1.7651,1.6373,0.7154,40.3937
