,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2007-4,56.09,1.47,0.18,0.64,0.0016,0.4175,29.7467,34.1918,43.4749,206565514.18,,70608592.17,,69798400.0,,43.8048,,30.9819,2.7628,2.2239,1.4489,0.4564,69.0181,0.2653,66.8772,42.5316,60.5734,48.8354,109.4088,0.87,5.383,8.4643,5.9432,1.0164,63.073
2008-4,38.75,2.0,0.96,0.68,0.0016,0.8792,28.6272,33.8072,43.1216,220879577.81,6.9296,74823059.9,5.9688,68932800.0,-1.2401,34.086,718.9963,17.384,4.4477,3.7636,1.2104,0.2251,82.616,2.1323,51.8179,47.6008,76.6235,22.7952,99.4187,0.8468,6.9474,7.5629,4.6983,1.0443,11.3448
2009-1,,,-0.1,0.0138,,,,9.8914,44.2002,14367799.27,,1512887.75,,1472801.05,,0.53,,,,,,,,,,,,,,,,,,,
2009-2,14.57,,-0.12,0.31,,,,31.8105,50.855,105597312.33,,33780938.02,,33724457.51,,13.63,,,,,,,,,,,,,,,,,,,
2009-3,,,,0.37,,,,31.4032,52.6152,127486881.23,,40286509.82,,,,,,,,,,,,,,,,,,,,,,,
2009-4,39.99,2.92,1.23,0.97,0.0016,1.715,27.1916,34.3263,48.1439,313563335.52,41.9612,107192207.31,43.2609,107137549.39,55.4232,33.3719,718.8201,33.3442,2.5663,2.0745,1.5002,0.5267,66.6558,0.7981,69.7337,45.3389,115.5253,-0.4527,115.0726,0.7922,5.1625,7.9402,3.1162,1.0105,8.8923
2010-1,,2.86,-0.72,0.0392,0.0016,1.6541,0.8764,15.2351,51.2681,27464247.66,91.1514,4309339.91,184.842,4331014.91,194.0665,1.37,95.7559,25.9257,2.6718,1.7835,1.35,0.3688,74.0743,-0.6866,360.2882,180.2885,356.7182,183.8585,540.5767,0.0575,0.2498,0.4992,0.2523,0.0813,0.7882
2010-2,4.14,19.01,-0.42,0.39,16.3267,1.5315,2.7239,27.7097,45.9733,171622450.29,62.5254,47482098.91,40.5589,47638439.36,41.2578,1.7,434.4793,5.7881,17.2734,16.6965,1.0614,0.0618,94.2119,-0.3544,106.0071,90.3252,144.5899,51.7424,196.3323,0.0983,1.698,1.9928,1.2449,0.1086,4.9267
2010-3,,19.11,-0.38,0.48,16.3267,1.6353,3.596,28.4593,48.0575,221513458.61,73.7539,62741495.97,55.7382,62907678.79,,3.7,343.3283,5.7243,17.1321,16.4599,1.0607,0.0611,94.2757,-0.3222,137.3836,96.432,171.4177,62.3979,233.8156,0.1264,1.9653,2.7999,1.5751,0.142,6.3185
2010-4,8.72,19.97,1.21,1.31,16.4011,2.3272,9.7542,35.8553,48.6075,500470845.46,59.6076,176962990.98,65.0894,180553400.15,68.5249,6.0295,623.652,6.8404,14.8195,14.5109,1.0734,0.0739,93.1596,0.8181,62.9151,54.4456,142.3994,-25.0387,117.3607,0.272,5.722,6.6121,2.5281,0.3115,4.9068
2011-1,0.21,20.01,-0.75,0.04,16.4011,2.3698,0.1819,14.6891,51.1309,38829728.39,41.3828,6270791.81,45.5163,6265629.15,44.6688,0.2132,42.7426,4.461,24.2495,23.4728,1.0467,0.047,95.539,-0.7938,282.6633,269.946,532.5444,20.0649,552.6093,0.0124,0.3184,0.3334,0.169,0.0141,0.2305
2011-2,2.03,9.15,-0.39,0.19,6.9326,1.111,1.8921,30.6726,46.8123,199774476.17,16.4035,60015836.3,26.3968,65608941.73,37.7227,2.0279,180.7023,7.2437,10.7361,10.0382,1.0781,0.0809,92.7563,-0.5298,141.8216,162.8664,232.859,71.829,304.688,0.0617,1.2692,1.1052,0.773,0.0785,1.1035
2011-3,2.73,9.25,-0.5,0.25,6.967,1.171,2.5622,22.575,37.3903,368083629.66,66.1676,80699639.88,28.6224,95633894.69,52.0226,2.6989,140.9874,6.4053,11.8882,10.9014,1.0684,0.071,93.5947,-0.7571,114.5767,148.4659,170.1859,92.8567,263.0426,0.1135,2.3565,1.8186,1.5865,0.1466,2.0058
