,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2011-4,45.56,3.34,2.58,0.79,,,15.076,4.5018,17.1171,1160464581.57,,52242293.88,,44951402.57,,47.3381,,68.1524,0.9168,0.5331,3.14,2.14,31.8476,0.36,32.3566,2.5088,47.8323,-12.9669,34.8654,3.3489,11.126,143.4963,7.5263,5.4935,9.6621
2012-4,64.12,5.5,4.18,1.58,,,21.9569,5.7658,20.3993,1806246029.09,55.6485,104144929.62,99.3498,89761725.69,99.6862,57.3807,94.7527,69.856,1.1724,0.7073,3.3174,2.3174,30.144,0.328,34.0043,1.82,42.1131,-6.2888,35.8243,3.8081,10.5869,197.798,8.5484,5.1971,16.8304
2013-4,62.22,5.2313,5.9741,0.45,,,19.2817,5.0276,18.4451,3264377734.23,80.7272,163885558.16,57.363,148071482.54,64.9606,47.4667,78.2999,68.5175,1.2129,0.8739,3.1764,2.1834,31.4825,0.523,28.7648,1.0861,38.8341,-8.9832,29.8509,3.8352,12.5153,331.4526,9.2702,4.7119,36.1587
2014-2,27.39,6.16,0.47,1.66,,,9.8555,6.5802,20.1415,1663664192.86,,109583827.75,,105209691.87,,27.0315,114.537,63.7218,1.258,0.7244,2.7565,1.7625,36.2782,0.0435,39.2294,0.6049,51.0638,-11.2295,39.8343,1.4978,4.5884,297.59,3.525,1.8628,19.3483
2014-4,52.11,7.9038,4.0954,0.62,0.6934,5.7124,18.483,5.2422,19.1365,4309101325.09,32.0038,225882245.44,37.8293,218198428.04,47.3602,43.3015,82.2383,60.9268,1.2858,0.8028,2.5593,1.5698,39.0732,0.3301,30.2814,0.4702,42.5255,-11.7739,30.7516,3.5259,11.8885,765.7112,8.4655,4.4776,50.0287
2015-3,51.33,,1.05,0.91,,,,7.7019,19.1818,4276744640.78,,329320649.99,,317527412.87,,,,,,,,,,,,,,,,,,,,,
2015-4,54.65,2.23,1.48,0.98,0.6923,10.0561,20.8692,5.9144,19.3021,5996057484.24,39.1487,354463544.6,56.924,334465711.52,53.2851,43.7918,107.1724,60.4978,1.2933,0.9276,2.5315,1.5356,39.5022,0.433,28.3476,0.124,44.3372,-15.8656,28.4716,3.5285,12.6995,2903.3849,8.1196,4.6494,31.9438
2016-1,11.79,,,0.23,,,,6.4859,19.4913,1451792695.19,,94162503.78,,88856306.57,,,,,,,,,,,,,,,,,,,,,
2016-2,37.96,2.64,0.58,0.89,,1.5398,15.0392,9.5505,20.3671,3388369095.43,,324030130.53,,265258180.37,,33.8738,162.3498,57.4266,1.408,0.8685,2.3489,1.3501,42.5734,0.1617,33.4591,0.2404,51.6484,-17.9489,33.6995,1.5747,5.3797,748.7559,3.4851,2.0515,10.4031
2016-3,62.29,3.02,2.08,1.64,,1.9253,23.7097,9.8135,20.9012,6057724072.84,41.6433,594642274.62,80.5663,528402561.1,66.4116,54.2182,193.366,62.8525,1.34,0.868,2.692,1.6963,37.1475,0.4054,34.0453,0.5277,54.4651,-19.8921,34.573,2.416,7.9306,511.6273,4.9573,3.0431,18.3607
2016-4,74.94,3.4296,2.0801,2.04,,2.2242,30.2002,9.008,20.7773,8237941601.99,37.3893,741956223.82,109.3181,604143674.91,80.6295,59.598,141.7405,56.3459,1.4707,0.9701,2.2907,1.2944,43.6541,0.4686,32.0048,1.1936,47.4771,-14.2787,33.1984,3.3526,11.2483,301.6024,7.5826,4.2954,23.9924
2017-1,6.32,5.1315,-0.791,0.28,1.6697,2.2777,3.5604,6.9356,21.7854,1619010289.23,11.518,112205990.33,19.1621,115641087.91,30.1439,5.4191,120.1271,39.8321,2.1499,1.3789,1.662,0.6633,60.1679,-0.2324,58.5061,3.4141,65.8135,-3.8933,61.9202,0.5134,1.5383,26.3614,1.3675,0.6325,4.0272
2017-2,15.76,5.5,-0.5579,0.78,1.9895,2.3325,9.1273,8.2979,21.6718,3727634244.89,10.0126,309817303.28,-4.3863,291767984.77,9.994,13.8568,127.5097,42.8424,2.0047,1.0345,1.7495,0.7507,57.1576,-0.135,62.448,2.6725,67.0716,-1.9511,65.1205,1.1,2.8824,67.3515,2.6837,1.3436,9.0094
2017-3,27.67,5.8884,2.1928,1.49,2.002,3.0376,14.3903,7.9817,21.1091,7462858624.01,23.1958,596303342.93,0.2793,606604172.32,14.7996,24.9236,148.7475,55.596,1.5653,0.8974,2.2521,1.2592,44.404,0.2957,48.7224,1.9412,64.5315,-13.8679,50.6636,1.8029,5.5416,139.089,4.184,2.1597,17.6747
2017-4,31.46,6.1724,2.2571,1.72,2.0545,3.2051,17.6646,6.3486,19.9869,10867607974.83,31.9214,691081647.23,-6.8568,691241380.29,14.4167,27.5561,106.8336,49.0811,1.7314,1.0391,1.9639,0.9691,50.9189,0.3773,38.0353,1.5699,51.6633,-12.0581,39.6052,2.7824,9.4649,229.3125,6.9682,3.3993,24.3473
2018-1,4.94,6.5691,-0.3101,0.32,2.1836,3.5156,2.5202,4.7546,18.2528,2660383465.39,64.3216,127848927.69,13.9413,131006387.48,13.2871,4.7844,64.5567,47.3393,1.7556,0.9116,1.899,0.9011,52.6607,-0.0524,50.576,1.7859,60.8149,-8.453,52.3619,0.53,1.7795,50.3953,1.4799,0.6451,5.3424
2018-2,14.29,4.1812,0.4418,0.6,0.9576,2.2178,7.1398,6.3682,19.7663,6218897314.04,66.8323,385286540.63,24.3593,366978540.68,25.7775,14.1578,104.6068,54.5646,1.5507,0.7951,2.2009,1.2315,45.4354,0.0858,53.4902,2.728,66.2544,-10.0362,56.2182,1.1212,3.3651,65.9816,2.7168,1.3548,10.5403
2018-3,28.52,4.9038,1.9841,1.31,1.1687,2.911,13.6352,7.4163,20.9494,12002425105.88,60.8288,849896067.77,42.5275,820221587.7,35.2153,26.4406,135.9817,59.1049,1.446,0.8061,2.4453,1.4903,40.8951,0.2715,47.8723,2.1481,,50.0204,50.0204,1.8385,5.64,125.692,,2.1985,18.9171
2018-4,34.1,5.189,2.7181,1.55,1.2361,3.0822,17.7567,6.2474,20.0707,16983689829.68,56.2781,1004274077.27,45.3192,940973004.37,36.128,29.5096,109.6851,49.6577,1.5986,1.0529,1.9864,1.0213,50.3423,0.5129,35.1213,1.5574,45.8004,-9.1217,36.6787,2.8422,10.2502,231.1575,7.8602,3.5828,24.7034
2019-1,5.29,5.5139,-0.1572,0.29,1.2733,3.3695,2.5733,5.7,22.2509,3360850379.68,26.3295,188437748.72,47.3909,172513811.87,31.6835,4.9907,52.4373,50.4205,2.0253,1.5239,2.017,1.0536,49.5795,-0.0259,50.5164,3.1789,,53.6953,53.6953,0.4515,1.7816,28.3121,,0.5789,3.7564
2019-2,14.79,5.6628,0.9751,0.87,1.311,3.4016,7.3284,7.8776,25.9913,7204694341.82,15.8516,564290783.51,46.46,534782646.3,45.7259,14.5684,86.0813,52.8511,1.8739,1.2178,2.1209,1.1584,47.1489,0.1425,53.4109,2.8277,67.3854,-11.1468,56.2386,0.9303,3.3701,63.6549,2.6712,1.1976,8.0263
2019-3,34.18,6.8924,4.2924,2.1863,1.1616,4.6978,15.9236,10.9344,27.9056,13001215941.84,8.3216,1413529887.18,66.318,1343268811.46,63.769,30.2129,131.7213,55.9,1.6878,1.0429,2.2676,1.2971,44.1,0.4638,47.9097,2.1958,71.3041,-21.1986,50.1055,1.4563,5.6356,122.963,3.7866,1.8569,14.3133
2019-4,38.38,7.227,3.6204,2.49,1.2009,4.8026,18.9988,9.4548,27.3237,17052701667.82,0.4063,1610908565.49,60.4053,1516210403.83,61.1322,32.6843,108.8851,49.6748,1.8986,1.5091,1.9871,1.0052,50.3252,0.4791,43.4122,2.0862,55.3055,-9.8071,45.4984,2.0094,8.2926,172.5633,6.5093,2.6377,18.6489
2020-1,3.22,7.4975,-0.8543,0.25,1.2194,5.0522,1.6068,6.2185,26.3371,2616336918.9,-22.1525,161630319.03,-14.2261,119436394.68,-30.7671,3.1655,34.779,49.3444,1.8426,1.293,1.9741,0.9932,50.6556,-0.1105,73.4394,2.9941,83.1486,-6.7151,76.4335,0.2584,1.2255,30.0592,1.0824,0.3465,2.7702
2020-2,10.53,7.4181,-0.0769,0.83,1.2378,4.8783,5.1773,8.6827,27.2728,6244898012.91,-13.3218,540978777.8,-4.1312,443964545.1,-16.9822,10.7041,63.9708,52.9095,1.6447,1.2405,2.1236,1.1487,47.0905,-0.0087,61.4355,2.0855,77.4194,-13.8984,63.521,0.5963,2.9299,86.3105,2.325,0.8106,6.086
2020-3,25.18,10.0925,2.7322,2.1655,2.665,6.0788,11.7576,11.3204,26.5178,12436403625.4,-4.3443,1404365803.57,-0.6483,1275129417.97,-5.0727,20.8244,115.661,50.9041,1.4836,1.1274,2.0368,1.0548,49.0959,0.2566,53.513,1.9515,79.1186,-23.6541,55.4645,1.0386,5.0455,138.3547,3.4126,1.4047,11.1675
2020-4,31.87,10.7757,2.9752,2.91,2.6068,6.8179,16.9686,11.1611,26.5455,17129315322.12,0.4493,1901523935.57,18.0405,1770284596.43,16.7572,26.4156,114.4545,41.7184,1.4202,0.9777,1.7158,0.7279,58.2816,0.3793,46.6666,2.325,58.2637,-9.2721,48.9916,1.5203,7.7143,154.8365,6.1788,2.348,14.9875
2021-1,2.76,11.0804,0.2444,0.31,2.6075,7.1213,1.4934,5.5725,23.6325,3571018346.08,36.4892,201226673.81,24.4981,164350259.57,37.6048,2.7185,33.3337,46.6215,1.3483,0.8276,1.8734,0.8874,53.3785,0.0249,75.9943,3.3759,81.0373,-1.6671,79.3702,0.268,1.1843,26.6593,1.1106,0.4616,2.6657
2021-2,5.79,10.4433,-0.1468,0.66,2.6301,6.4638,3.1764,5.3863,24.4562,7962533358.53,27.5046,430000530.24,-20.5143,317790241.87,-28.4199,6.1636,33.2234,50.8717,1.1109,0.476,2.0355,1.0532,49.1283,-0.0133,85.0702,3.2746,80.5045,7.8403,88.3448,0.5897,2.1159,54.9682,2.2359,1.0729,5.8152
2021-3,16.04,11.7239,2.6261,1.87,2.6458,7.6683,8.7931,8.1016,25.1945,15282269634.17,22.8834,1221802441.82,-12.9997,1050473098.57,-17.6183,15.6349,76.5096,49.0205,1.1875,0.6387,1.9616,0.9786,50.9795,0.2289,58.8902,2.9024,62.2062,-0.4136,61.7926,1.0854,4.5848,93.026,4.3404,1.9487,10.5054
2021-4,21.84,12.5356,4.0532,2.61,2.7529,8.2957,12.1383,8.0256,25.3777,21225711766.91,23.9145,1698984955.78,-10.6514,1467982473.42,-17.0765,20.3335,74.5989,44.9948,1.3174,0.8376,1.818,0.8351,55.0052,0.3872,47.8571,2.4995,55.2495,-4.8929,50.3566,1.5124,7.5224,144.0301,6.5159,2.7475,14.4998
2022-1,3.61,13.0627,-0.4283,0.46,2.8195,8.7578,1.9527,7.5001,26.3668,4186639925.39,17.2394,308057795.53,53.0899,260067495.5,58.2398,3.5381,50.0189,46.5659,1.3607,0.8696,1.8715,0.8906,53.4341,-0.0368,75.7448,3.8858,77.7269,1.9037,79.6306,0.2604,1.1882,23.161,1.1579,0.4609,2.6336
2022-2,7.84,12.7763,0.0607,1.02,2.8681,8.4109,4.33,7.7492,27.2444,8979897543.03,12.7769,676714459.65,57.3753,559370312.9,76.0187,7.9463,47.7009,47.5797,1.4338,0.7607,1.9077,0.9294,52.4203,0.0051,70.4666,3.4783,71.3663,2.5786,73.9449,0.5588,2.5544,51.7498,2.5222,0.948,5.2648
2022-3,16.78,16.4281,3.7027,2.36,5.568,9.3707,8.9951,10.1527,27.8386,16047167535.0,5.0051,1592557017.1,30.3449,1415039907.7,34.705,13.9279,88.4296,43.7372,1.9595,1.2188,1.7774,0.7924,56.2628,0.2844,50.3374,2.653,68.1182,-15.1278,52.9904,0.886,5.3638,101.7733,3.9637,1.287,9.4139
