,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2007-4,42.66,2.48,1.05,1.38,1.4743,0.0163,21.9535,20.7064,29.562,306305066.92,,64750331.06,,64022975.86,,36.0487,,38.1481,1.6266,0.6335,1.6168,0.6136,61.8519,0.6858,164.5413,2.6063,57.1401,110.0075,167.1476,1.0602,2.1879,138.1264,6.3003,1.7813,4.3574
2008-4,20.62,3.34,0.09,0.6,1.6156,0.552,13.2843,15.366,23.7875,284767841.84,-7.0313,43929553.61,-32.1555,40208543.12,-37.1967,18.4855,242.548,33.5794,1.8608,0.7771,1.5056,0.5226,66.4206,0.0533,173.0686,5.6543,37.3065,141.4164,178.7229,0.8645,2.0801,63.6688,9.6498,1.5261,4.0456
2009-3,8.94,,-0.12,0.38,,,,10.4742,19.1455,237346070.61,,24848759.68,,,,,,,,,,,,,,,,,,,,,,,
2009-4,14.97,3.23,0.36,0.5,1.6156,0.502,9.6245,11.9553,20.0029,305132025.98,7.1512,36469899.23,-16.9809,32520190.75,-19.1212,15.3646,209.1945,38.8519,2.506,1.2217,1.6354,0.6354,61.1481,0.1777,140.9112,7.1103,16.9119,131.1096,148.0215,0.805,2.5548,50.6311,21.2868,1.5248,4.4375
2010-1,3.15,,0.37,0.1,,,,12.8724,18.5672,59145920.67,,7613508.28,,,,,,,,,,,,,,,,,,,,,,,
2010-2,7.71,3.49,-0.11,0.26,1.6156,0.7608,4.599,13.8025,22.274,137847263.35,,19026385.76,,15308641.71,,7.4209,204.1028,41.6278,1.9462,0.6836,1.7131,0.7131,58.3722,-0.043,167.2085,16.7369,40.8989,143.0465,183.9454,0.3332,1.0765,10.7547,4.4011,0.6607,2.091
2010-3,8.94,9.63,-0.12,0.38,7.8756,0.675,3.9209,13.8446,22.6253,211295849.97,-10.9756,29253151.95,17.7248,24335843.28,,3.0982,198.7116,14.4738,9.6675,8.171,1.1692,0.1692,85.5262,-0.0717,151.6428,23.2372,40.8893,133.9907,174.88,0.2832,1.7805,11.6193,6.6032,0.3972,3.259
2010-4,8.06,9.73,-0.27,0.48,7.8756,0.7387,5.4089,13.214,21.8705,294263836.1,-3.5618,38884145.97,6.6198,32947735.29,1.3147,4.0767,175.942,9.1271,13.8548,11.1387,1.1004,0.1004,90.8729,-0.2744,176.1597,13.4773,35.9324,153.7046,189.637,0.4093,2.0436,26.7116,10.0188,0.6038,4.1098
2011-1,0.92,9.82,-0.09,0.09,7.8756,0.8289,0.8443,11.5949,17.33,76261723.07,28.9383,8842464.8,16.1418,7366461.57,,0.9185,106.8405,7.8796,17.644,14.3232,1.0855,0.0855,92.1204,-0.1021,195.2278,37.4174,46.7921,185.8531,232.6452,0.0728,0.461,2.4053,1.9234,0.0992,0.7597
2011-2,2.06,6.56,-0.15,0.13,4.9171,0.5605,1.8495,10.4409,15.8078,189605970.34,37.5479,19796561.34,4.0479,15590770.63,1.8429,2.054,112.4825,11.6684,8.1008,6.0954,1.1321,0.1321,88.3316,-0.1699,147.2513,25.4169,44.9191,127.7491,172.6682,0.1771,1.2224,7.0819,4.0072,0.2537,2.5423
