,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2013-4,8.44,2.5,0.08,0.24,,,3.2235,3.9567,17.9796,602502637.54,,26567007.07,,24723302.71,,9.5571,,62.8254,1.1716,0.8242,2.69,1.6714,37.1746,0.02,96.7638,118.9532,28.9459,186.7711,215.717,0.8147,3.7204,3.0264,12.437,1.2126,3.7753
2014-4,16.14,2.21,0.6,0.43,,,5.8351,7.3469,16.3921,631186700.0,4.7608,48253800.0,81.6305,10677700.0,-56.8112,19.6588,122.405,71.6416,1.3998,0.7346,3.5263,2.4806,28.3584,0.1088,131.3821,119.6212,26.6317,224.3716,251.0033,0.7942,2.7401,3.0095,13.5177,1.1447,3.86
2015-1,6.17,,,,,,,8.2877,20.7027,181394060.27,,15341260.53,,,,,,,,,,,,,,,,,,,,,,,
2015-2,20.02,1.87,0.28,0.36,,,6.1882,13.3434,25.6706,406417033.58,,54606557.95,,39092669.69,,19.4279,222.1282,69.3615,1.3054,0.7835,3.2639,2.2279,30.6385,0.0674,148.075,113.5933,44.6207,217.0476,261.6683,0.4638,1.2156,1.5846,4.034,0.6466,2.3977
2015-4,34.34,1.1,0.32,0.34,1.0669,0.3157,11.1811,12.2928,24.2089,834029073.83,32.1367,103303804.6,114.0843,70248000.0,557.8945,25.2356,160.0015,58.9095,1.5371,0.9617,2.4337,1.4161,41.0905,0.2031,146.8429,,,146.8429,146.8429,0.9096,2.4516,,,1.2525,4.7132
2016-1,7.15,2.64,-0.1546,0.18,1.0669,0.5231,2.958,12.9852,19.6926,232463897.19,28.1541,30315256.27,97.606,,,6.797,256.228,58.3064,1.4094,0.9076,2.3984,1.3817,41.6936,-0.0418,127.0469,127.3165,70.2741,184.0893,254.3634,0.2278,0.7084,0.7069,1.2807,0.3057,1.2493
2016-2,13.32,2.85,-0.2411,0.37,1.2685,0.5,6.3141,15.0571,23.9829,419527265.14,3.2258,63311306.52,15.9408,54442475.82,39.2652,12.9266,234.202,52.3632,1.605,0.8207,2.0992,1.0872,47.6368,-0.0777,173.6279,103.9501,80.1211,197.4569,277.578,0.4193,1.0367,1.7316,2.2466,0.5661,2.2584
2016-4,13.8,1.91,-0.29,0.2,2.28,0.4194,6.2665,8.5347,24.3785,806341462.42,-3.3197,68757967.92,-33.441,79283600.0,12.8624,9.6889,98.3083,41.6728,2.2574,1.5086,1.7145,0.7119,58.3272,-0.2159,165.6391,109.0116,27.8858,246.7649,274.6507,0.7342,2.1734,3.3024,12.9098,0.9694,4.2155
2017-2,9.2059,,,,,,5.4317,17.7294,29.5808,377998239.19,-9.899,67067641.75,5.9331,,,,154.5657,40.6727,2.212,1.3566,1.6856,0.6831,,-0.0429,216.0864,143.3806,40.8108,318.6562,359.467,0.3064,0.833,1.2554,4.4106,0.4071,1.9195
2017-3,,,-0.0773,0.265,,,,15.5448,30.1188,633007246.4,,98534599.46,,,,,,,,,,,,,,,,,,,,,,,
