,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
1995-4,,2.13,,,0.5152,0.2225,5.359,6.2255,28.0351,237610736.9,,14446674.65,,,,10.81,,50.7434,1.0285,0.3966,2.0302,1.0477,49.2566,,156.9038,47.5737,41.1942,163.2833,204.4775,0.8608,2.2944,7.5672,8.7391,1.8925,
1996-4,,2.37,,,0.5152,0.4312,5.6495,10.0979,34.2121,161923415.24,-31.8535,15429902.17,6.8059,,,10.35,,49.7958,1.0791,0.4316,1.9919,1.0111,50.2042,,264.356,76.7051,75.4986,265.5625,341.0611,0.5595,1.3618,4.6933,4.7683,1.1755,
1997-4,,2.82,,,0.6205,0.7238,6.7018,11.5538,33.5294,194565800.9,20.1592,21639021.76,40.2408,,,12.19,,51.0031,1.1207,0.412,2.0409,1.0583,48.9969,,257.5292,70.3207,85.2454,242.6045,327.8499,0.58,1.3979,5.1194,4.2231,1.1635,
1998-2,,3.03,,,0.6205,0.9329,3.6801,13.0133,33.02,106006573.04,,13137335.83,,,,6.9,,49.3491,1.1557,0.5317,1.9743,0.9886,50.6509,,246.7443,64.8953,90.1758,221.4638,311.6396,0.2828,0.7295,2.7737,1.9961,0.5577,-4623.9711
1998-4,12.87,1.78,0.2519,0.22,0.2336,0.2498,6.7045,13.0899,35.6947,195794175.11,0.6313,20818470.89,12.6401,,,12.1,324.2364,48.3321,1.6459,0.9635,1.9354,0.951,51.6679,0.1487,259.366,89.7375,113.0227,236.0808,349.1035,0.5122,1.388,4.0117,3.1852,1.0019,
1999-2,,1.7,0.3846,,0.2336,0.1717,3.4986,11.5522,31.5485,121291509.4,14.4189,13791053.88,4.976,,,7.16,281.9718,51.6171,1.4923,0.8466,2.0668,1.0836,48.3829,0.2084,168.0202,,100.3065,67.7137,168.0202,0.3029,1.0713,,1.7945,0.5797,
1999-4,,1.72,0.39,0.24,0.2336,0.166,6.5411,10.9646,28.4489,250853997.2,28.1213,26842974.53,28.9383,26842974.53,,13.81,239.8601,55.5687,1.1013,0.499,2.2507,1.2709,44.4313,0.1791,174.2666,,103.0131,71.2535,174.2666,0.5966,2.0658,,3.4947,1.0921,
2000-2,,2.2,-0.0558,,0.7744,0.1321,3.09,9.7177,22.566,152518389.95,25.7453,14529808.06,5.3568,14325111.14,,5.35,179.6739,46.5682,1.3568,0.6032,1.8715,0.8821,53.4318,-0.0288,166.9294,,84.5388,82.3906,166.9294,0.318,1.0783,,2.1292,0.5487,
2000-4,11.6,2.15,-0.16,0.23,0.7745,0.0558,5.5132,9.9265,26.3541,289617784.04,15.4527,28296826.06,3.6742,27829242.03,3.6742,10.44,103.1485,54.8444,1.1863,0.3958,2.2146,1.2316,45.1556,-0.0619,224.4669,,113.1684,111.2985,224.4669,0.5554,1.6038,,3.1811,0.9344,
2001-2,7.46,2.3,0.239,0.17,0.7745,0.2066,3.575,10.6722,25.0985,210614246.39,38.0911,21225763.07,46.0843,21475820.72,49.9173,7.456,157.2516,54.1118,1.0267,0.3374,2.1792,1.2528,45.8882,0.0829,195.3973,53.0504,86.3309,162.1168,248.4477,0.335,0.9212,3.393,2.085,0.578,2.0262
2001-3,,,,,,,,7.6744,23.2863,333756645.6,,24190194.82,,,,,,,,,,,,,,,,,,,,,,,
2001-4,13.38,2.22,0.45,0.31,0.7745,0.0816,5.886,8.8949,23.7288,450364131.74,55.5029,37726309.25,33.3235,36597325.0,31.5067,13.73,96.6516,61.3365,0.8417,0.2844,2.5864,1.7026,38.6635,0.1199,180.9227,57.8881,94.8017,144.0091,238.8108,0.6617,1.9898,6.2189,3.7974,1.1869,3.5046
2002-1,,2.0317,,,0.7745,0.1064,0.4362,3.3755,21.8292,97122676.27,,3067637.76,,,,1.137,,58.8773,0.8038,0.2938,2.4317,1.5688,41.1227,,205.0581,69.6433,122.1333,152.5681,274.7014,0.1292,0.4389,1.2923,0.7369,0.262,0.748
2002-2,5.57,2.31,0.93,0.13,0.7745,0.172,1.8872,6.3863,22.1271,234481008.89,11.332,15461478.51,-27.157,15712754.84,-26.8351,5.42,109.5408,61.9178,0.8221,0.3549,2.6259,1.7891,38.0822,0.2245,176.177,66.7285,116.0018,126.9037,242.9055,0.2955,1.0217,2.6975,1.5517,0.5778,1.5411
