,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2009-4,27.15,2.78,0.28,0.343,0.64,1.0127,9.058,2.0334,7.8265,775347726.42,,15766130.62,,20284575.9,,23.595,,61.6108,1.5372,1.2782,2.6049,1.6049,38.3892,0.1208,0.0126,19.1252,39.0604,-19.9226,19.1378,4.4545,28559.1994,18.8233,9.2165,4.7033,827.5584
2010-4,41.0,4.03,0.44,0.659,1.676,1.1359,14.0633,2.9474,9.3651,1035048918.67,33.4948,30506884.88,93.4963,30130144.32,48.5372,28.4047,169.3087,58.6589,1.6797,1.2706,2.4189,1.4189,41.3411,0.1334,0.0053,15.8716,24.6098,-8.7329,15.8769,4.7715,68291.1188,22.682,14.6283,4.9193,861.2234
2011-4,35.97,2.78,1.03,0.866,0.3992,1.1775,14.3493,2.7738,9.0715,1592792494.87,53.8857,44180648.49,44.8219,43332676.42,43.8184,31.2051,152.7482,60.2298,1.6329,1.1445,2.5144,1.5144,39.7702,0.2459,,11.7117,14.0959,-2.3842,11.7117,5.1732,,30.7386,25.5393,5.2561,856.2679
2012-3,,,,,,,,3.1968,,1641967800.0,,52491000.0,,51803300.0,,,,,,,,,,,,,,,,,,,,,
2012-4,35.83,3.99,1.23,1.212,0.3992,2.2675,14.0497,2.8747,9.9335,2149917516.13,34.9779,61803716.93,39.8887,61110097.74,41.0254,30.3875,143.0477,61.1704,1.5886,1.054,2.5754,1.5754,38.8296,0.1951,,8.3831,16.0088,-7.6257,8.3831,4.8874,,42.9434,22.4876,5.005,598.095
2013-1,6.92,,,0.28,,,,2.4009,9.1367,599445188.31,,14391841.38,,14395727.09,,,,,,,,,,,,,,,,,,,,,
2013-2,14.19,4.6,1.42,0.609,0.3992,2.8153,4.9158,2.5522,9.463,1217272126.24,,31067488.43,,31071374.14,,13.2511,102.7735,68.3257,1.4272,0.9722,3.1571,2.1571,31.6743,0.1429,,13.1443,23.7464,-10.6021,13.1443,1.9261,,13.6942,7.5801,1.978,231.6568
2013-3,,,,,,,11.8328,3.2194,9.986,2347551456.57,42.9718,75578092.98,43.983,74899500.0,44.5844,27.0925,168.6837,62.9847,,,2.7016,1.7016,37.0153,0.0243,,,,,,3.6754,,,,,
2013-4,35.4,5.703,1.3379,1.72,0.3992,3.8126,14.5753,2.9105,9.9953,3005255499.97,39.7847,87468779.19,41.5267,86798522.43,42.0363,30.0731,128.3799,57.0027,1.6982,1.1251,2.3257,1.3257,42.9973,0.177,,8.6917,19.5037,-10.812,8.6917,5.0078,,41.4189,18.458,5.1645,545.885
2014-1,4.65,7.8468,-2.5556,0.3,2.7831,3.634,2.3869,2.3115,9.0988,751950499.91,25.4411,17381003.91,20.7698,17421443.65,21.0182,3.8,101.5257,41.3544,2.3486,1.5292,1.7052,0.7052,58.6456,-0.4619,,13.4628,22.1724,-8.7096,13.4628,1.0326,,6.6851,4.0591,1.0648,131.0173
