,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2017-4,27.67,2.11,0.06,0.49,,,15.901,12.8041,37.2083,366458885.38,,46615644.26,,51218500.0,,22.5348,,29.8985,2.4474,1.9987,1.4265,0.4265,70.1015,0.063,48.1097,139.3405,95.2734,92.1768,187.4502,1.2419,7.4829,2.5836,3.7786,1.6972,7.0695
2018-4,23.37,2.83,0.59,0.56,,,16.5651,14.5462,34.3062,385701486.91,5.251,56120294.11,20.3894,52316900.0,2.1445,19.5078,89.4565,24.7535,3.4817,2.8996,1.329,0.3289,75.2465,0.6356,50.8726,134.5442,77.144,108.2728,185.4168,1.1388,7.0765,2.6757,4.6666,1.4332,7.6008
2019-2,,,,,,,,17.8284,,179746800.0,,27763300.0,,25983400.0,,,,,,,,,,,,,,,,,,,,,
2019-3,,,,,,,,16.4493,,284778000.0,,46844100.0,,43316500.0,,,,,,,,,,,,,,,,,,,,,
2019-4,15.0,3.88,0.52,0.55,,,13.8017,16.0175,35.8318,380993097.16,-1.2207,61025612.49,8.7407,53769100.0,2.7758,14.1037,96.6835,13.8099,5.9215,5.3651,1.1602,0.1602,86.1901,0.8432,52.6562,136.2707,59.8414,129.0855,188.9269,0.8617,6.8368,2.6418,6.0159,1.0711,7.646
2020-1,1.68,,,0.07,,,,11.2581,33.2871,65225766.76,,7343166.88,,7604273.14,,,,,,,,,,,,,,,,,,,,,
2020-2,5.92,4.12,0.29,0.24,1.5813,1.493,5.1191,16.4562,38.4264,160445907.02,-10.7378,26403241.13,-4.8988,25148400.0,-3.2136,5.7512,88.722,13.3022,5.807,4.4769,1.1534,0.1534,86.6978,0.4608,59.1094,153.6754,73.0697,139.7151,212.7848,0.3111,3.0452,1.1713,2.4634,0.4123,3.3051
2020-3,,4.3247,0.3717,0.44,,,9.2677,17.0571,38.4387,288242351.28,1.2165,49165715.67,4.956,,,10.2034,134.2282,,,,,,,,,,,,,0.5433,,,,,11.5284
2020-4,13.63,4.4516,0.4608,0.57,,,11.5278,15.7949,38.3387,400831591.23,5.207,63310927.81,3.7448,57568979.35,7.067,12.7642,102.0527,16.8323,4.3135,3.832,1.2024,0.2024,,0.5115,44.4346,136.9759,72.4579,108.9526,181.4105,0.7298,8.1018,2.6282,4.9684,1.0031,8.4013
2021-1,3.08,4.5909,-0.0113,0.14,1.5813,1.9466,2.5793,14.9622,35.1032,103712116.78,59.0048,15517605.1,111.3203,14102033.07,85.4488,3.0336,92.1153,15.7116,5.5354,4.6169,1.1864,0.1864,84.2884,-0.0132,47.9259,137.3836,71.908,113.4015,185.3095,0.1724,1.8779,0.6551,1.2516,0.2637,2.2974
2021-2,5.12,5.3635,0.1373,0.25,2.9206,1.3919,4.127,13.9786,33.7679,223330666.94,39.1937,31218468.75,18.2373,25816319.67,2.6558,3.918,85.1417,13.0608,7.101,6.4121,1.1502,0.1502,86.9392,0.1705,46.0287,130.6431,79.2393,97.4325,176.6718,0.2952,3.9106,1.3778,2.2716,0.4219,4.8966
2021-3,7.79,5.5132,0.3322,0.4,2.9206,1.5357,6.9764,15.8043,33.5777,338282855.45,17.3606,53463309.95,8.741,42795588.9,,6.5275,91.0275,12.5237,7.2363,6.6252,1.1432,0.1432,87.4763,0.4208,44.8408,130.8647,77.9964,97.7091,175.7055,0.4414,6.0213,2.0632,3.4617,0.635,7.4982
2021-4,9.32,5.6244,0.5393,0.5,2.9357,1.6326,8.6644,14.8876,31.7061,455042332.42,13.5246,67744752.2,7.0033,57887200.53,0.5528,8.1077,83.559,13.6253,5.8547,5.2059,1.1577,0.1577,86.3747,0.6079,47.679,127.1097,79.683,95.1057,174.7887,0.582,7.5505,2.8322,4.5179,0.8989,10.2617
2022-1,1.22,5.6935,-0.0459,0.07,2.9357,1.6997,1.0768,9.5124,27.1784,111859401.6,7.8557,10271691.55,-33.8062,8640862.46,-38.7261,1.2144,53.3919,13.4828,6.1256,5.2019,1.1558,0.1608,86.5172,-0.0501,64.3179,132.8806,73.7403,123.4582,197.1985,0.1132,1.3993,0.6773,1.2205,0.1824,2.5125
2022-2,2.63,5.6426,0.0662,0.15,2.9535,1.5843,2.3383,9.9141,25.1969,231497805.59,3.657,22333971.44,-28.4591,19098391.88,-26.022,2.6643,48.8523,12.0917,6.5735,5.6036,1.1375,0.1436,87.9083,0.0817,61.0666,130.9186,65.3073,126.6779,191.9852,0.2359,2.9476,1.3749,2.7562,0.3858,4.9975
2022-3,4.61,5.7685,0.2768,0.26,2.966,1.6947,4.0303,11.4704,25.1737,348767142.93,3.0993,39192392.02,-26.6929,31006551.76,-27.5473,4.5733,56.3536,12.148,6.2241,5.2885,1.1383,0.1443,87.852,0.3326,60.2342,132.5414,66.406,126.3696,192.7756,0.3514,4.4825,2.0371,4.0659,0.5809,7.6503
