,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2011-4,37.12,1.4647,-1.068,,,0.3856,9.4028,9.3982,32.5741,47753167.4,,4585598.2,,4427600.0,,31.3082,,68.4915,1.3241,0.6339,3.1737,2.232,31.5085,-0.3267,147.0768,83.0737,64.9937,165.1568,230.1505,1.0005,2.4477,4.3335,5.539,1.1032,47.9533
2012-4,95.44,4.001,0.204,,0.0693,2.663,29.0297,18.5328,37.1318,143685353.17,200.8918,26738275.65,483.0924,26545100.0,499.537,62.4262,164.2598,68.4432,1.3493,1.029,3.1689,2.1689,31.5568,0.0235,73.1469,91.0332,95.5515,68.6286,164.1801,1.5664,4.9216,3.9546,3.7676,1.7041,58.3793
2013-4,42.27,1.75,-0.04,0.66,0.113,0.6198,17.8086,15.2481,34.9263,218539649.32,52.096,33323096.23,24.6269,32815800.0,23.6228,31.6895,122.7348,55.9111,1.7064,1.3732,2.2681,1.2681,44.0889,-0.0182,79.6777,133.9834,120.1362,93.5249,213.6611,1.1679,4.5182,2.6869,2.9966,1.2491,43.2443
2014-2,13.45,2.01,-0.13,0.25,,,6.1121,12.6115,38.7026,120209782.99,,15160222.37,,15096300.0,,12.6004,112.1424,53.2883,1.7738,1.322,2.1408,1.1408,46.7117,-0.0564,113.1151,154.7322,131.406,136.4413,267.8473,0.4846,1.5913,1.1633,1.3698,0.5212,18.7303
2014-4,33.64,2.46,0.59,0.71,0.113,1.3012,16.2889,15.442,38.6072,275421727.44,26.0283,42530592.62,27.631,41198500.0,25.5447,28.7981,135.9152,47.9425,1.9766,1.5258,1.921,0.921,52.0575,0.262,96.9619,142.3319,119.2329,120.0609,239.2938,1.0548,3.7128,2.5293,3.0193,1.1477,42.8472
2015-3,28.24,,0.08,0.81,,,,16.8247,,284202000.0,,48567600.0,,45924786.66,,,,,,,,,,,,,,,,,,,,,
2015-4,37.34,3.59,0.74,1.13,0.113,2.3885,19.1282,16.0271,36.5814,421303110.2,52.9665,67803918.77,59.4239,65071000.0,57.9451,31.4651,131.5949,48.6228,2.0106,1.5712,1.9464,0.9529,51.3772,0.2167,86.362,119.7167,98.6436,107.4351,206.0787,1.1935,4.1685,3.0071,3.6495,1.3067,46.9703
2016-1,5.02,,-0.3843,0.19,,,,12.4539,36.9095,88765347.32,,11103538.02,,10921775.25,,,,,,,,,,,,,,,,,,,,,
2016-2,16.07,4.22,-0.39,0.63,0.113,3.0162,8.1468,15.9316,36.1518,237660375.05,,37661379.54,,36848400.0,,14.8768,150.5442,49.7581,1.989,1.4725,1.9904,0.9969,50.2419,-0.0928,108.3163,150.8801,114.4165,144.7799,259.1964,0.5114,1.6618,1.193,1.5732,0.5531,21.1267
2016-3,22.67,4.51,-0.02,0.92,,,11.4094,15.2852,36.3524,371557110.34,30.737,55083680.49,13.4165,53878752.58,17.3195,20.3575,168.5338,52.2423,1.8967,1.8967,2.0939,1.1068,47.7577,-0.0043,,,,,,0.7464,,,,0.8033,
