,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
1993-4,,2.0565,,,0.8053,0.1712,8.0207,32.7606,13.7555,62336431.44,,20421769.59,,,,9.8,,17.232,4.5371,3.3928,1.2082,0.2106,82.768,,217.3388,41.365,,258.7038,258.7038,0.2448,1.6564,8.703,,0.4535,
1994-4,,1.87,,,0.588,0.1882,6.7051,21.9826,10.4592,82020631.85,31.5774,18417131.91,-9.8162,,,8.46,,19.278,3.4424,2.7355,1.2388,0.2407,80.722,,150.0813,53.1805,0.4708,202.791,203.2618,0.305,2.3987,6.7694,764.576,0.5632,
1995-2,,1.91,,,0.588,0.2349,1.558,6.4759,,69510788.97,,4830751.73,,,,2.1,,20.5872,3.0199,3.0199,1.2592,0.261,79.4128,,,,,,,0.2406,,,,0.4452,
1995-4,,1.5,,,0.4437,0.0378,-5.2495,-24.1592,-2.7452,59164964.78,-27.8658,-14293766.76,-177.6113,,,-6.84,,20.0553,2.8493,2.1201,1.2509,0.2509,79.9447,,182.3616,76.3343,,258.6959,258.6959,0.2173,1.9741,4.7161,,0.4196,
1996-2,,1.46,,,0.4437,-0.0626,-5.274,-63.5936,,21127311.86,-69.6057,-13435620.37,-378.1269,,,-6.87,,21.1938,2.5252,2.5252,1.2689,0.2642,78.8062,,,,,,,0.0829,,,,0.1692,
1996-4,,1.338,,,0.4437,-0.1862,-10.9788,-35.1791,-13.0893,83528413.0,41.1788,-28626917.9,-100.2755,,,-15.9927,,34.0841,1.4871,1.2186,1.5171,0.5216,65.9159,,91.5029,52.7395,42.2754,101.967,144.2424,0.3121,3.9343,6.826,8.5156,0.6388,
1997-2,,1.55,,,0.4512,0.0211,9.1822,14.8618,,186583902.23,783.1408,27729816.87,306.3903,,,13.3,,36.6221,1.4402,1.4402,1.5778,0.5819,63.3779,,,,,,,0.6178,,,,1.2165,
1997-4,,1.389,,,0.4512,-0.1429,2.0093,2.7856,9.7989,206708535.38,147.4709,5793167.65,120.2368,,,3.12,,36.5219,1.4315,1.2321,1.5753,0.5882,63.4781,,20.3861,22.6523,13.314,29.7244,43.0384,0.7213,17.6591,15.8924,27.0393,1.43,
1998-2,,1.167,-0.0613,,0.4512,-0.3648,-3.7634,-605.9734,4.4348,1631560.15,-99.1256,-9863728.99,-135.5708,,,-6.32,-217.3589,29.1519,2.0151,1.6674,1.4115,0.4224,70.8481,-0.1243,610.7906,899.5502,222.4144,1287.9264,1510.3408,0.0062,0.2947,0.2001,0.8093,0.012,22.3497
1998-4,,0.78,-0.0327,,0.4232,-0.7242,-13.0302,-6152.8555,-36.1813,507793.26,-99.7543,-32969772.5,-639.3213,,,-29.95,-257.3702,42.1641,1.2783,1.0398,1.729,0.729,57.8359,-0.0575,5325.4438,22784.8101,5020.9205,23089.3334,28110.2539,0.0021,0.0676,0.0158,0.0717,0.0042,
1999-2,,0.785,-0.1093,,0.4232,-0.7185,0.3896,1.5782,22.3943,48745299.8,2887.6496,769319.6,107.7995,,,0.73,34.6734,51.037,1.1348,0.8712,2.0424,1.0424,48.963,-0.1334,99.0808,,110.8989,-11.8181,99.0808,0.2469,1.8167,,1.6231,0.4608,
1999-4,,1.1726,0.0257,,0.4232,-0.2662,19.5045,36.7899,29.937,105247190.2,20626.3858,38720344.89,217.442,15030511.98,,24.69,465.9883,27.6318,2.0049,1.2792,1.3818,0.3818,72.3682,0.0574,132.3092,,64.8473,67.4619,132.3092,0.5302,2.7209,,5.5515,1.0158,
2000-2,,1.44,0.2005,,0.4232,0.001,15.8541,35.0472,36.9391,101943589.82,109.1352,34440476.87,4544.1505,34440476.87,,18.55,642.2803,17.7088,3.3348,1.7308,1.2152,0.2152,82.2912,0.5451,105.4914,,20.26,85.2314,105.4914,0.4524,1.7063,,8.8845,0.7921,
2000-4,,1.53,0.18,,0.4232,0.0732,21.5781,28.3135,35.5438,187246758.48,77.9114,51728232.06,36.9206,51039662.73,239.5737,25.88,480.94,25.4263,2.5444,1.317,1.341,0.341,74.5737,0.3374,131.095,,18.5336,112.5614,131.095,0.7621,2.7461,,19.4242,1.2607,
2001-2,19.4,1.86,0.32,0.329,0.5312,0.254,13.2129,23.5915,34.1028,161267071.83,86.0585,44008360.1,27.7809,44408403.42,28.9425,17.69,1166.7396,37.5191,2.0425,1.2688,1.6005,0.6071,62.4809,0.279,54.1614,36.9701,2.6217,88.5098,91.1315,0.5601,3.3234,4.8688,68.6586,0.7813,3.0623
2001-4,25.32,5.48,0.16,0.556,4.0808,0.3159,11.4128,21.1076,34.6771,295425678.52,95.8687,76379603.89,47.6555,76149936.89,49.1976,7.79,707.2419,9.1412,7.0576,4.3912,1.1006,0.1009,90.8588,0.2972,181.4059,70.296,13.8793,237.8226,251.7019,0.5407,1.9845,5.1212,25.938,0.8391,3.8453
2002-1,,3.5164,,,2.1943,0.2795,2.6345,23.8252,44.0476,121802387.0,,28848238.81,,,,2.8516,,9.7236,6.7526,4.4155,1.1077,0.1081,90.2764,,258.1756,57.8443,28.0934,287.9265,316.0199,0.1106,0.3486,1.5559,3.2036,0.1701,1.0559
2002-2,5.966,3.637,0.35,0.211,2.1943,0.3894,5.4112,27.8303,36.8322,217635271.83,34.9533,60259998.24,36.9285,60336958.77,35.8683,5.793,936.1941,9.7757,6.5918,4.2992,1.1083,0.1087,90.2243,0.8824,247.6269,74.129,26.8216,294.9343,321.7559,0.1944,0.7269,2.4282,6.711,0.302,1.8318
2002-3,,2.07,,,0.7746,0.2377,7.5343,22.1379,32.6227,380053361.86,,84033348.51,,84107013.85,,7.9,,7.3204,9.2565,5.1201,1.079,0.0792,92.6796,,204.7937,65.6009,24.8575,245.5371,270.3946,0.3403,1.3184,4.1158,10.8619,0.5151,3.3858
2002-4,8.38,2.06,0.33,0.166,0.7746,0.2252,7.7463,18.3487,29.7348,470077205.99,59.1186,78899622.61,12.1843,81309326.09,6.7753,8.09,419.6038,7.1961,8.1956,5.6489,1.0775,0.0778,92.8039,2.0865,206.1501,60.5683,20.6895,246.0289,266.7184,0.4222,1.7463,5.9437,17.4001,0.6858,3.1259
2003-1,,2.1,-0.026,,0.7746,0.2606,1.8781,18.453,37.5285,101071345.46,-3.5531,21416466.73,-25.7616,,,1.98,417.1159,6.8109,9.0146,6.036,1.0731,0.0733,93.1891,-0.1688,224.1036,78.4245,24.5727,277.9554,302.5281,0.1018,0.4016,1.1476,3.6626,0.1694,0.5759
2003-2,,2.16,0.0133,,0.7748,0.2539,4.6203,25.7566,37.0379,211630669.03,-2.759,54487009.14,-9.5801,54933996.7,-8.9546,4.89,566.3217,8.0143,7.7865,4.9618,1.0871,0.0874,91.9857,0.0701,243.1118,80.9571,30.5105,293.5584,324.0689,0.1794,0.7404,2.2234,5.8996,0.2965,0.9638
2003-3,,1.06,0.0483,,0.0024,0.0224,5.6047,21.6372,36.6662,300009693.78,-21.0612,64842654.48,-22.837,,,5.93,472.9485,6.2657,9.2599,6.4049,1.0668,0.0671,93.7343,0.6777,250.3013,85.7197,20.2335,315.7875,336.021,0.259,1.0787,3.1498,13.3442,0.4437,1.3677
