,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
1994-4,,0.61,,,,0.2754,13.3288,19.3729,35.2535,156204506.07,,30261343.2,,,,49.8,,73.2376,0.724,0.3853,3.7366,2.7366,26.7624,,80.3787,11.5473,57.8434,34.0826,91.926,0.688,4.4788,31.1762,6.2237,3.1876,
1995-4,,0.8,,,,0.4033,13.6272,18.5745,35.6118,176411476.18,12.9362,32767530.14,8.2818,,,41.0,,68.4461,0.7502,0.3731,3.1692,2.1692,31.5539,,75.2744,11.5154,44.8006,41.9892,86.7898,0.7337,4.7825,31.2626,8.0356,3.5329,
1996-4,,0.93,,,,0.4647,12.3613,18.1754,35.1609,188460014.64,6.8298,34253323.45,4.5343,,,36.79,,69.0026,1.0563,0.481,3.2261,2.2261,30.9974,,91.197,15.6857,36.3427,70.54,106.8827,0.6801,3.9475,22.9509,9.9057,3.1462,
1997-2,,1.37,,,0.2586,0.1147,5.3285,17.1351,,100180168.74,,17165999.36,,,,12.5,,60.0739,1.1614,1.1614,2.5046,1.5046,39.9261,,,,,,,0.311,,,,1.2776,
1997-4,,2.9,,0.387,1.6251,0.2299,9.8092,23.4085,36.3936,203372465.61,7.9128,47606397.89,38.9833,,,10.61,,33.0458,2.4288,2.058,1.4936,0.4936,66.9542,,106.2166,52.0992,34.1997,124.1161,158.3158,0.419,3.3893,6.9099,10.5264,1.2167,
1998-2,,3.0969,,,1.6251,0.4312,4.5151,25.2536,30.5302,123579234.24,23.357,31208217.97,81.8025,,,6.5015,,32.5887,1.6863,1.2062,1.4834,0.4834,67.4113,,99.6512,80.3356,28.4941,151.4927,179.9868,0.1788,1.8063,2.2406,6.3171,0.5091,
1998-4,11.76,3.26,0.0255,0.362,1.6251,0.5372,7.8943,23.5877,31.5218,237633661.46,16.8465,54085479.21,17.741,,,11.1,609.2383,32.6627,1.5043,1.0921,1.4851,0.4851,67.3373,0.0161,103.1135,86.4782,50.8137,138.778,189.5917,0.3347,3.4913,4.1629,7.0847,0.967,
1999-2,,2.0824,-0.1028,0.113,0.7657,0.2457,2.4089,17.6392,31.7893,109491502.58,-11.3998,19313429.71,-38.1143,,,3.7398,435.7471,39.5096,1.3505,1.0139,1.6532,0.6532,60.4904,-0.0756,163.6364,,83.5655,80.0709,163.6364,0.1366,1.1,,2.154,0.3919,
1999-4,,2.194,0.073,0.238,0.7657,0.341,6.1241,20.9022,30.6313,238119680.0,0.2045,49772218.08,-7.9749,43225198.86,,9.15,582.6661,37.8534,1.3752,1.003,1.6091,0.6091,62.1466,0.0546,143.6954,,69.1789,74.5165,143.6954,0.293,2.5053,,5.2039,0.845,
2000-2,,2.267,-0.0633,,0.7657,0.4135,1.9085,16.6752,30.9213,101469024.43,-7.327,17992299.04,-6.8405,16637675.13,,3.2,612.3855,35.7605,1.1985,0.8663,1.5567,0.5708,64.2395,-0.0489,211.342,,86.4097,124.9323,211.342,0.1145,0.8517,,2.0831,0.3042,-1363.5804
2000-4,4.21,2.864,-0.0719,0.101,1.3867,0.3846,2.3143,10.8664,26.4221,214789943.3,-9.7975,25204845.88,-48.223,23110210.98,-46.5353,3.25,423.9521,29.4092,1.8159,1.4529,1.4166,0.4234,70.5908,-0.0593,207.9482,,109.7494,98.1988,207.9482,0.213,1.7312,,3.2802,0.4614,
2001-2,0.75,2.78,0.067,0.021,1.3867,0.3132,0.5327,5.9269,25.7901,96150984.79,-5.241,5694543.9,-68.3501,4369763.45,-73.7357,0.74,211.5662,22.9806,2.5646,1.9957,1.2984,0.2985,77.0194,0.0814,288.1383,181.8733,146.8908,323.1208,470.0116,0.0899,0.6247,0.9897,1.2254,0.1654,0.2958
2001-4,1.74,2.798,0.0327,0.0483,1.3867,0.3036,1.2358,6.6179,23.1817,202063262.6,-5.9252,9557558.23,-47.004,11246454.73,-51.3356,1.72,295.7994,24.9189,2.3351,1.7757,1.3319,0.332,75.0811,0.0355,268.5164,159.8366,143.7298,284.6232,428.353,0.1867,1.3407,2.2523,2.5047,0.3399,0.6405
2002-1,,2.7745,,,1.3867,0.3061,0.0857,1.6566,15.9824,52674399.39,,868191.22,,,,0.1125,,24.0592,2.4055,1.7956,1.3168,0.317,75.9408,,271.6571,162.2206,106.4963,327.3814,433.8777,0.0518,0.3313,0.5548,0.8451,0.0892,0.1683
2002-2,,2.777,-0.0185,,1.3867,0.307,0.112,1.0699,16.8635,105526625.79,9.751,1120794.77,-80.3181,1257693.2,-71.2183,0.1457,131.1585,22.6025,2.528,1.8702,1.292,0.2922,77.3975,-0.0228,276.7528,150.7411,107.6426,319.8513,427.4939,0.1047,0.6504,1.1941,1.6722,0.1815,0.3175
2002-3,,2.7735,,,1.3867,0.3037,0.0241,0.1563,17.2503,157389424.85,,227998.2,,370726.2,,0.03,,24.3571,2.4037,1.7377,1.322,0.3222,75.6429,,292.7147,153.9251,103.7305,342.9093,446.6398,0.1544,0.9224,1.7541,2.6029,0.2646,0.4769
2002-4,-0.8538,2.731,-0.1269,-0.0234,1.3867,0.2635,-0.6377,-3.0321,13.5731,213336192.31,5.5789,-6482491.5,-167.8258,-8352644.19,-174.2691,-0.857,15.8326,24.7882,2.3708,1.7276,1.3296,0.3297,75.2118,-0.141,273.6394,148.4108,97.7862,324.264,422.0502,0.2103,1.3156,2.4257,3.6815,0.3597,0.6555
2003-1,,2.732,-0.0852,,1.3867,0.2647,0.0309,0.6156,12.5378,51198813.82,-2.8013,311371.1,-64.1357,,,0.0412,38.1879,26.6036,2.2471,1.6154,1.3625,0.3626,73.3964,-0.086,323.1598,155.7093,88.635,390.2341,478.8691,0.0503,0.2785,0.578,1.0154,0.0848,
2003-2,,2.749,-0.0675,,1.3981,0.2694,0.1507,1.504,16.7766,107161569.53,1.5493,1606637.86,43.3481,1624345.46,29.1528,0.21,90.8649,32.8502,1.7025,1.2079,1.4892,0.4895,67.1498,-0.0502,335.633,179.7843,99.9334,415.4839,515.4173,0.1002,0.5363,1.0012,1.8012,0.175,0.3152
2003-3,,2.754,-0.0697,,1.3981,0.2745,0.2788,1.6203,17.8106,188529123.18,19.7851,3044362.84,1235.2574,3084130.67,731.916,0.399,134.9934,35.6604,1.6144,1.109,1.5543,0.5545,64.3396,-0.0457,302.521,152.0099,76.0092,378.5217,454.5309,0.1721,0.8925,1.7762,3.5522,0.2961,0.5519
2003-4,0.738,2.763,0.171,0.0203,1.3981,0.2738,0.4813,2.0736,16.6703,272584816.52,27.7724,5610226.62,186.5443,3337225.03,139.9541,0.73,81.1374,43.0192,1.4125,0.9952,1.755,0.7554,56.9808,0.0819,290.112,153.2698,101.2772,342.1046,443.3818,0.2321,1.2409,2.3488,3.5546,0.3874,0.7818
2004-1,,2.767,0.0702,,1.3981,0.2776,0.0755,1.1234,14.8099,93671059.71,82.9555,1052208.86,237.9276,842314.16,,0.1374,60.6832,46.9122,1.3585,0.9459,1.8837,0.8842,53.0878,0.0287,243.2432,152.2585,95.4097,300.092,395.5017,0.0672,0.37,0.5911,0.9433,0.1079,0.2609
2004-2,0.528,2.778,0.1309,0.015,1.3981,0.2884,0.2827,2.2149,18.9894,182283212.94,70.1013,4045405.96,151.7933,3716692.25,128.8117,0.53,110.4542,49.1818,1.3455,0.8873,1.9678,0.9683,50.8182,0.0487,280.3302,159.787,115.4364,324.6808,440.1172,0.1276,0.6421,1.1265,1.5593,0.2006,0.4934
2004-3,,2.782,0.0274,,1.3981,0.2923,0.3451,1.8864,19.0809,270844850.56,43.6621,5132523.28,68.5911,5253805.36,70.3496,0.667,97.5541,52.3982,1.3091,0.8125,2.1008,1.1013,47.6018,0.0089,306.6788,166.3074,153.5312,319.455,472.9862,0.1829,0.8804,1.6235,1.7586,0.2812,0.739
2004-4,0.81,2.785,0.0495,0.022,1.3981,0.2832,0.4263,1.5094,18.5098,406194033.0,49.0156,6191469.63,10.3604,6946564.73,108.1539,0.803,93.9695,49.7062,1.3122,0.8845,1.9883,0.9888,50.2938,0.018,257.8427,145.7372,107.1524,296.4275,403.5799,0.2824,1.3962,2.4702,3.3597,0.4483,1.0732
2005-1,,2.788,0.1487,,1.3981,0.2856,0.0416,0.7676,16.1593,84391114.69,-9.9069,662390.04,-37.0477,296364.65,-64.8154,0.0858,45.2024,51.1648,1.3267,0.886,2.0477,1.0482,48.8352,0.0509,351.014,192.4722,144.4855,399.0007,543.4862,0.0542,0.2564,0.4676,0.6229,0.0825,0.2091
2005-2,0.224,2.795,0.0813,0.006,1.3981,0.2929,0.1095,0.8785,18.8946,199019854.62,9.1817,1732850.12,-57.165,1294768.91,-65.1634,0.224,67.0792,52.268,1.2996,0.8026,2.095,1.1206,47.732,0.026,323.6246,171.3633,146.4248,348.5631,494.9879,0.1247,0.5562,1.0504,1.2293,0.1896,0.505
2005-3,,2.797,0.1228,,1.3981,0.2948,0.1363,0.7371,17.411,289026297.25,6.7129,2262264.92,-55.9229,2471545.04,-52.957,0.292,65.5958,50.2328,1.3294,0.8132,2.0094,1.0327,49.7672,0.0425,342.2921,171.8213,136.2398,377.8736,514.1134,0.1849,0.7888,1.5714,1.9818,0.2841,0.7358
