,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
1993-4,,1.51,,,,,,6.3337,33.6469,254939000.0,,16147000.0,,,,4.16,,,,,,,,,,,,,,,,,,,
1994-4,,1.7,,,0.5,0.1217,13.7486,26.4651,59.3894,443266000.0,73.8714,117311000.0,626.5189,,,26.88,,48.8452,1.0599,0.7748,1.9549,0.9549,51.1548,,106.4648,7.5612,2.4798,111.5462,114.026,0.5195,3.3814,47.6118,145.1718,1.8044,
1995-4,,2.12,,,0.5,0.4425,18.8804,32.9597,59.831,523146172.01,18.0208,172427377.2,46.9831,,,31.6548,,44.0329,1.2932,0.9564,1.7868,0.7868,55.9671,,111.3517,38.3898,3.2463,146.4952,149.7415,0.5728,3.233,9.3775,110.8971,1.8663,
1996-2,,2.4,,,0.5,0.6799,6.354,33.6358,,198168090.0,,66655413.0,,,,10.6509,,45.1971,1.4579,1.4579,1.8247,0.8247,54.8029,,,,,,,0.1889,,,,0.504,
1996-4,,2.45,,,0.9442,0.3422,4.1086,19.2353,37.6015,530933416.39,1.4885,82469326.6,-52.1716,,,8.8031,,73.9321,0.8341,0.3955,3.8361,3.1553,26.0679,,303.4646,,90.6002,212.8644,303.4646,0.2136,1.1863,,3.9735,0.7798,
1997-2,,2.41,,,0.9291,0.3153,-0.1786,-2.446,,299624214.13,51.197,-11606901.03,-117.4133,,,-1.26,,75.3612,1.0975,1.0975,4.0586,3.4322,24.6388,,,,,,,0.073,,,,0.2544,7023.8808
1997-4,,1.65,,,1.0117,-0.5188,-10.221,-67.7751,10.9961,562226551.0,5.894,-333933091.0,-504.9179,,,-52.7,,79.8795,0.5602,0.4424,4.9701,4.3593,20.1205,,216.3202,96.6625,116.4257,196.557,312.9827,0.1508,1.6642,3.7243,3.0921,0.5714,5806.2061
1998-2,,1.21,-0.033,,1.0117,,-5.3802,-643.9244,-78.1379,24310593.0,-91.8863,-171809968.0,-1380.2398,,,-37.2,-1083.479,78.4552,0.2548,0.1632,4.6415,4.0109,21.5448,-0.0068,387.18,831.793,587.4674,631.5056,1218.973,0.0084,0.4649,0.2164,0.3064,0.037,113.9513
1998-4,,1.036,-0.075,,1.0117,-1.1371,-9.1179,-663.2414,-87.1503,38923849.0,-93.0768,-236810546.0,29.0844,,,-59.67,-819.5678,80.1499,0.3473,0.11,5.0378,4.4526,19.8501,-0.0163,431.0345,884.7383,635.3689,680.4039,1315.7728,0.0137,0.8352,0.4069,0.5666,0.0542,753.7539
1999-2,,1.05,0.0122,,1.0117,-1.1268,0.6424,703.6087,13.4282,1984312.0,-91.8377,3959655.0,102.3047,,,0.99,656.2281,78.9179,0.3715,0.3231,4.7434,4.2176,21.0821,0.0028,3991.1308,,9574.4681,-5583.3373,3991.1308,0.0009,0.0451,,0.0188,0.0035,0.0147
1999-4,,1.13,-0.0345,0.0969,1.0117,-1.0402,2.6769,994.168,-40.8282,5721988.0,-85.2995,-86470171.0,115.6792,-76458495.0,,8.56,691.971,75.825,0.9328,0.238,4.1365,3.574,24.175,-0.0085,1569.3112,,3399.4334,-1830.1222,1569.3112,0.0027,0.2294,,0.1059,0.0104,
