,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
1994-4,,1.78,,,0.5345,0.023,4.0215,10.0415,19.709,111795890.43,,11225938.2,,0.0,,12.33,,67.3714,1.3535,0.806,3.0648,2.0648,32.6286,,230.5476,121.1428,18.9771,332.7133,351.6904,0.4005,1.5615,2.9717,18.9702,0.7804,
1995-4,,1.91,,,0.5673,0.0963,3.5676,9.6806,28.5771,107945032.94,-3.4445,10449734.5,-6.9144,,,10.65,,68.0156,1.2065,0.6125,3.1265,2.1265,31.9844,,316.2333,127.0424,40.9044,402.3713,443.2757,0.3685,1.1384,2.8337,8.801,0.714,
1996-2,,2.11,,,0.5673,0.2969,3.3066,21.1719,,48557469.57,,10280529.19,,,,9.4869,,65.6154,1.2973,1.2973,2.9083,1.9083,34.3846,,,,,,,0.1562,,,,0.2962,
1996-4,,1.62,,,0.1849,0.2386,4.539,14.3972,30.4419,109627960.43,1.5591,15777084.86,50.9807,,,12.66,,67.774,1.0536,0.5951,3.1031,2.1143,32.226,,370.6755,143.1696,77.6548,436.1903,513.8451,0.3153,0.9712,2.5145,4.6359,0.6434,
1997-2,,1.67,,,0.1849,0.2851,0.8832,8.5175,,41558043.83,-14.4147,3573016.56,-65.2448,,,2.79,,68.7899,1.1084,1.1084,3.2041,2.2149,31.2101,,,,,,,0.1037,,,,0.2127,
1997-4,,1.65,,0.18,0.1681,0.2747,3.6354,13.3286,39.0875,110756369.45,1.0293,14790976.17,-6.2503,,,10.61,,66.9185,1.1541,0.5333,3.0228,2.032,33.0815,,523.5602,156.9517,86.3454,594.1665,680.5119,0.2727,0.6876,2.2937,4.1693,0.5545,
1998-2,,1.77,-0.0515,,0.1698,0.3907,2.0343,11.6425,35.4505,84285515.83,102.814,9810794.72,174.5802,,,6.57,133.9338,72.2903,0.7211,0.4603,3.6089,2.62,27.7097,-0.0111,302.3178,114.1191,54.3265,362.1104,416.4369,0.1747,0.5954,1.5773,3.3133,0.4223,
1998-4,,2.51,-0.4969,0.29,0.8367,0.4553,4.5513,13.8906,37.4915,177861502.99,60.5881,21221617.9,67.033,,,10.13,155.8309,63.0959,1.2777,1.012,2.7097,1.7142,36.9041,-0.1155,294.4544,113.6435,51.5316,356.5663,408.0979,0.3277,1.2226,3.1678,6.986,0.6724,
1999-2,,2.59,,,0.8367,0.5317,1.0947,8.5789,36.5424,86575898.99,2.7174,7427251.98,-24.2951,,,2.96,,63.7431,1.2923,0.9503,2.7581,1.7625,36.2569,,256.3372,,98.2801,158.0571,256.3372,0.1276,0.7022,,1.8315,0.2632,1849.9124
1999-4,,2.81,0.99,,0.8367,0.708,5.013,12.1468,34.4611,266447890.14,49.8064,32364853.51,52.5089,31332231.06,,11.87,407.8819,56.648,1.267,0.7455,2.3067,1.3067,43.352,0.2706,237.0136,,32.8332,204.1804,237.0136,0.4127,1.5189,,10.9645,0.7433,
2000-2,,2.12,-0.3088,,0.4597,0.4821,5.228,19.8457,39.7133,164585829.68,90.1058,30619449.51,312.2581,27405828.51,,9.93,277.2625,48.1803,1.5045,0.8959,1.9298,0.9695,51.8197,-0.1505,291.4508,,20.4239,271.0269,291.4508,0.2634,0.6176,,8.8132,0.4108,
2000-4,21.07,2.32,0.07,0.44,0.4554,0.6199,9.1635,16.4817,34.3337,420292613.65,57.7391,64227185.7,98.4473,50615024.7,61.543,19.03,252.0685,59.958,1.201,0.5421,2.4974,1.5686,40.042,0.0185,255.084,,19.2932,235.7908,255.084,0.556,1.4113,,18.6594,0.8256,522498.5562
2001-2,5.85,2.86,0.08,0.15,1.3259,0.3821,3.729,22.2344,40.1051,162714926.26,-1.1367,35633534.79,16.3755,35628087.28,30.0019,5.32,278.7299,36.2624,1.4886,0.8961,1.5689,0.5726,63.7376,0.0478,393.5286,0.0912,44.5148,349.105,393.6198,0.1677,0.4574,1972.8663,4.0436,0.2788,1.8796
2001-4,16.58,3.18,0.3,0.47,1.3259,0.6304,10.5564,23.8266,42.0709,468558607.3,11.4839,110384050.72,71.865,110191006.64,117.7041,14.83,182.6465,39.1776,1.3949,0.7465,1.6441,0.6485,60.8224,0.1474,310.9345,0.086,40.924,270.0965,311.0205,0.4431,1.1578,4186.0905,8.7968,0.7288,4.9927
2002-1,,3.1854,,,1.3259,0.6618,0.6399,13.157,31.8404,58041059.0,,7360732.63,,,,0.9492,,34.4252,1.5068,0.7214,1.525,0.5287,65.5748,,548.7805,12.9857,91.9305,469.8357,561.7662,0.0486,0.164,6.9307,0.979,0.0912,0.31
2002-2,5.0,3.23,0.53,0.16,1.3259,0.6881,3.1669,19.2158,33.4326,197116366.69,21.1422,36966945.97,3.742,36888982.36,3.539,4.88,211.8255,34.1408,1.5549,0.8692,1.5184,0.5225,65.8592,0.3361,301.5075,11.6869,54.2234,258.971,313.1944,0.1648,0.597,15.4019,3.3196,0.3058,1.0455
2002-3,,3.32,,,1.3259,0.7711,4.813,19.1616,34.4938,300444330.1,,56398963.32,,58366800.0,,7.26,,32.4529,1.6005,0.8614,1.4804,0.4843,67.5471,,301.6086,18.0115,56.6299,262.9902,319.6201,0.2512,0.8952,14.9904,4.7678,0.4709,1.6021
2002-4,15.23,3.53,0.5,0.51,1.3259,0.9116,8.9899,21.365,35.8293,562660168.73,20.0832,118887029.55,7.7031,121395536.32,10.1683,14.36,239.6156,42.387,1.9794,0.9989,1.7357,0.7382,57.613,0.1922,305.6806,21.8117,39.4867,288.0056,327.4923,0.4208,1.1777,16.5049,9.117,0.7329,2.2667
2003-1,,3.58,-0.3773,,1.3259,0.9618,0.8231,12.1574,47.5162,97780321.21,68.4675,11749252.16,59.6207,,,1.4,48.723,41.7278,2.265,1.06,1.7161,0.7185,58.2722,-0.1465,651.2301,80.0071,60.2894,670.9478,731.2372,0.0677,0.1382,1.1249,1.4928,0.1143,0.32
2003-2,,2.49,-0.3381,,0.6839,0.6051,3.1627,15.6216,42.6395,296864768.6,50.6038,45937806.44,24.2672,46234729.17,25.3348,5.26,129.0797,41.1397,2.3219,1.2298,1.6989,0.7015,58.8603,-0.1938,381.1137,83.7521,35.3537,429.5121,464.8658,0.2025,0.4723,2.1492,5.0914,0.3414,0.9382
2003-3,,2.52,-0.2781,,0.6839,0.6411,3.8969,14.6926,44.9231,402957396.18,34.1205,58590766.74,3.8862,58913077.45,0.9359,6.61,126.359,44.2412,1.8199,0.9052,1.7934,0.7965,55.7588,-0.1384,449.85,88.2526,43.7509,494.3517,538.1026,0.2652,0.6002,3.0594,6.1713,0.4671,1.2851
2003-4,13.61,2.7,0.08,0.35,0.6867,0.7704,7.8965,20.8312,48.0324,607075659.05,7.8938,116354790.27,2.2968,115302243.07,-5.0194,12.79,90.3653,43.1178,1.8941,0.9881,1.758,0.7985,56.8822,0.0359,461.5385,69.8405,44.9208,486.4582,531.379,0.3791,0.78,5.1546,8.0141,0.64,1.841
2004-1,,2.76,-0.1927,,0.6867,0.8127,0.8115,11.9264,50.501,120672666.1,23.412,14842580.19,26.3279,14735446.52,,1.53,47.8529,42.3773,1.9542,0.8918,1.7354,0.7815,57.6227,-0.0895,718.2761,119.8881,67.8938,770.2704,838.1642,0.068,0.1253,0.7507,1.3256,0.1154,0.3465
2004-2,5.65,2.86,-0.1312,0.16,0.6867,0.9276,2.9979,14.9149,46.0332,357490762.42,20.4221,55250611.48,20.2726,55277152.49,19.5576,5.49,73.1654,41.0025,2.0442,1.0644,1.695,0.7321,58.9975,-0.0626,406.1372,108.375,42.8235,471.6887,514.5122,0.201,0.4432,1.6609,4.2033,0.3428,1.0268
2004-3,,2.92,-0.2118,,0.6867,0.99,4.0918,15.4655,48.5703,485516086.13,20.4882,77188030.5,31.7409,77125171.09,30.9135,7.51,71.9675,43.3562,1.9406,0.9483,1.7654,0.8053,56.6438,-0.0899,512.7231,111.9682,52.3276,572.3637,624.6913,0.2646,0.5266,2.4114,5.1598,0.4446,1.3583
2004-4,14.77,2.88,0.43,0.4,0.6867,0.9198,7.6636,18.9873,45.2506,734788363.8,21.0374,133623973.14,19.7929,136331514.05,18.2384,13.76,75.6372,43.1459,2.0148,0.9938,1.7589,0.8007,56.8541,0.1883,424.9292,80.4451,44.0162,461.3581,505.3743,0.4036,0.8472,4.4751,8.1788,0.6727,2.0313
2005-1,,2.95,-0.2801,,0.6867,0.9889,1.1594,11.2729,41.8026,196486411.05,62.8259,24309909.36,63.7849,24116672.79,63.6644,2.34,49.3696,43.7725,2.0082,0.9703,1.7785,0.8188,56.2275,-0.1159,412.2767,93.3513,44.3612,461.2668,505.628,0.1028,0.2183,0.9641,2.0288,0.1677,0.5311
2005-2,7.06,3.03,-0.424,0.21,0.7215,1.0306,3.6155,15.7716,45.3686,460370524.23,28.7783,74108838.72,34.1322,74012787.65,33.894,6.96,60.1141,47.6338,1.8795,0.9337,1.9096,0.9561,52.3662,-0.1465,399.0246,86.4055,47.4446,437.9855,485.4301,0.2292,0.4511,2.0832,3.7939,0.3612,1.3479
2005-3,9.85,3.12,-0.3252,,0.7215,1.1183,5.0941,14.4232,45.405,720770760.78,48.4546,105952477.57,35.9422,107148957.2,38.9286,9.67,62.3716,47.6842,1.9053,0.9552,1.9115,0.9585,52.3158,-0.1089,394.9678,96.2498,48.2902,442.9274,491.2176,0.3532,0.6836,2.8052,5.5912,0.5498,2.0952
2005-4,16.16,3.29,0.08,0.5,0.716,1.2265,8.4488,17.1374,46.1844,1017674638.6,38.499,174059501.84,30.2607,178232204.0,30.7344,15.05,69.2712,45.9847,1.8857,0.8139,1.8513,0.8939,54.0153,0.0271,418.6533,72.0331,49.8857,440.8007,490.6864,0.493,0.8599,4.9977,7.2165,0.7769,2.9376
2006-1,,2.41,-0.3529,0.06,0.2275,0.9385,1.2502,11.8413,44.0928,243941997.87,24.1521,30052557.78,23.6227,30384687.47,25.9904,2.53,57.5958,47.604,1.8225,0.818,1.9085,0.9519,52.396,-0.1535,515.7593,122.1498,63.416,574.4931,637.9091,0.1056,0.1745,0.7368,1.4192,0.1591,0.7703
2006-2,7.9,2.55,-0.1875,0.19,0.2275,1.071,4.1289,16.8011,46.1064,581233713.77,26.2535,96809716.13,30.6318,95800998.49,29.4384,7.6,69.6049,47.2058,1.8357,0.8351,1.8941,0.936,52.7942,-0.0786,462.3684,97.0507,57.5227,501.8964,559.4191,0.2458,0.3893,1.8547,3.1292,0.3689,1.8226
