,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2011-4,42.87,3.9,0.41,0.89,2.1314,0.7295,14.2536,19.9246,55.2241,1016249539.65,,190022387.68,,221928012.22,,31.2415,,55.042,1.5751,1.1136,2.2243,1.2855,44.958,0.0822,251.2387,218.7918,169.8354,300.1951,470.0305,0.7154,1.4329,1.6454,2.1197,0.8814,5.963
2012-4,34.19,5.51,0.69,1.05,2.1314,2.1746,16.4542,22.3678,53.306,1167999222.94,14.9323,250855973.98,32.0139,233723355.93,5.3149,29.2001,285.6406,48.4763,1.7025,1.2677,1.9409,0.9903,51.5237,0.1267,210.5263,211.28,139.7678,282.0385,421.8063,0.7356,1.71,1.7039,2.5757,0.9293,6.3953
2013-4,25.23,4.64,0.75,1.04,1.0466,2.3689,13.4456,16.1075,36.8193,1596696819.38,36.7036,248033669.67,-1.1251,214296374.99,-8.312,22.4034,236.8083,43.9111,1.9553,1.3762,1.7829,0.8213,56.0889,0.198,120.4497,184.4735,99.2419,205.6813,304.9232,0.8347,2.9888,1.9515,3.6275,1.0583,8.4657
2014-1,3.2,,,0.15,,,,15.54,43.8688,243587050.86,,36021464.42,,29380275.61,,,,,,,,,,,,,,,,,,,,,
2014-2,7.72,,0.4664,0.37,,,,14.5614,37.3353,637676068.72,,88850106.78,,73684122.49,,,,,,,,,,,,,,,,,,,,,
2014-3,11.32,4.78,0.47,0.54,1.0466,2.5095,6.5427,13.6825,35.6507,981652654.48,,129040368.42,,105113601.95,,11.3124,175.3674,41.0912,2.0066,1.4175,1.6975,0.7331,58.9088,0.1329,143.9232,248.8938,138.426,254.391,392.817,0.4782,1.876,1.0848,1.9505,0.611,5.3861
2014-4,19.2,5.1956,0.8055,0.96,1.0466,2.8363,11.476,17.289,36.7408,1368124701.08,-14.3153,228425292.59,-7.9055,187688719.42,-12.4163,18.4202,214.4759,36.5812,2.2301,1.6988,1.5768,0.6052,63.4188,0.2562,134.5744,238.111,134.8264,237.859,372.6854,0.6638,2.6751,1.5119,2.6701,0.8542,7.5964
2015-1,2.07,7.1749,-0.173,0.14,3.6992,2.2413,1.4443,17.8362,43.7031,206075391.46,-15.3997,36396063.87,1.0399,36227144.72,23.3043,1.5938,197.6267,22.8145,3.9806,3.4427,1.2956,0.3035,77.1855,-0.0794,224.2152,430.4161,242.7184,411.9129,654.6313,0.081,0.4014,0.2091,0.3708,0.1011,1.1771
2015-2,4.41,7.2074,-0.1956,0.28,3.6992,2.2738,3.0971,15.7782,41.7333,499963163.19,-21.5961,78571243.29,-11.5688,77854575.4,5.6599,3.4251,178.2161,22.5878,4.1584,3.2143,1.2918,0.2996,77.4122,-0.0906,166.6975,375.0,181.7998,359.8977,541.6975,0.1963,1.0798,0.48,0.9901,0.2458,2.9059
2015-3,4.94,7.2866,-0.2918,0.34,3.7027,2.3494,4.0554,14.3174,38.0531,725644730.26,-26.0793,102638325.46,-20.4603,98139148.47,-6.1582,4.4256,140.5394,21.1709,4.4015,2.846,1.2686,0.2804,78.8291,-0.1428,171.712,402.6245,185.1217,389.2148,574.3365,0.2833,1.5724,0.6706,1.4585,0.3579,3.8399
