,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
1992-4,,2.1744,,,1.0562,,2.3821,4.0435,14.9818,107709378.12,,4355260.54,,,,6.32,,62.3236,1.3512,0.6452,2.6542,1.6542,37.6764,,110.0648,12.5448,27.9538,94.6558,122.6096,0.5891,3.2708,28.6972,12.8784,1.7774,
1993-4,,2.7267,,,3.0199,0.7346,12.8895,12.1143,20.5017,270378270.59,151.0257,32754425.96,652.0658,0.0,,-1.1573,,31.974,1.2767,0.6829,1.47,0.47,68.026,,70.0553,3.554,27.7724,45.8369,73.6093,1.064,5.1388,101.2954,12.9625,2.9229,
1994-2,,2.2,,0.2105,0.8032,0.1755,4.6821,10.0564,,169967573.85,,17092666.87,,,,7.97,,47.0384,1.2129,1.2129,1.8882,0.8882,52.9616,,,,,,,0.4656,,,,1.0321,27937.8698
1994-4,,2.31,,,0.8039,0.2075,7.2458,8.1492,,310052230.0,14.6735,25266930.0,-22.8595,,,11.32,,39.538,1.4437,0.9237,1.6539,0.6539,60.462,,,,,,,0.8891,,,,2.1183,
1995-2,,2.32,,,0.8039,0.1738,1.5074,4.0219,,143547400.0,-15.5442,5773400.0,-66.2229,,,2.56,,42.6586,1.5176,1.5176,1.7439,0.7439,57.3414,,,,,,,0.3748,,,,0.785,3163.7018
1995-4,,2.34,,,0.9007,0.1635,2.7777,4.0446,9.6634,281474820.42,-9.217,11384563.62,-54.9428,,,4.1667,,38.9685,1.8014,1.1091,1.6385,0.6385,61.0315,,102.3047,48.2871,52.7805,97.8113,150.5918,0.6868,3.5189,7.4554,6.8207,1.3287,4289.8677
1996-2,,2.39,,,0.9007,0.2133,1.305,3.6978,,157073027.25,9.4224,5808258.99,0.6038,,,2.0816,,36.9374,1.9233,1.9233,1.5857,0.5857,63.0626,,,,,,,0.3529,,,,0.6199,2462.3892
1996-4,,2.34,,,0.9007,0.0936,2.5774,4.2372,9.061,274288457.3,-2.5531,11622191.9,2.0873,,,4.2543,,39.8518,1.5882,0.7269,1.6626,0.6626,60.1482,,161.5799,49.5261,48.7686,162.3374,211.106,0.6083,2.228,7.2689,7.3818,1.0379,
1997-2,,2.39,,,0.9007,0.0924,1.2807,3.8652,,151732088.49,-3.4003,5864821.92,0.9738,,,2.1017,,39.5608,1.6443,1.6443,1.6546,0.6546,60.4392,,,,,,,0.3313,,,,0.5432,
1997-4,,2.6051,,0.262,0.9007,0.2081,6.4769,9.1577,16.5474,334100363.44,21.8062,30595797.61,163.2532,,,10.07,,38.0778,1.7706,1.0016,1.6149,0.6149,61.9222,,170.2691,37.327,63.29,144.3061,207.5961,0.7073,2.1143,9.6445,5.6881,1.1364,
