,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
1995-4,,1.1376,,,0.0036,0.0156,10.1984,67.2907,75.9061,70187305.72,,47229513.61,,,,37.71,,72.9587,0.2602,0.2579,3.698,2.698,27.0413,,2.8871,,0.3549,2.5322,2.8871,0.1516,124.691,,1014.4487,1.3433,
1996-4,,1.4703,,,0.0036,0.2594,14.0466,64.7689,71.9078,101524505.84,44.648,65756329.88,39.2272,,,40.63,,65.7938,0.1813,0.1374,2.9235,1.9235,34.2062,,2.8143,0.3624,11.7206,-8.5439,3.1767,0.2169,127.9191,993.3905,30.7151,2.5033,
1997-4,,2.05,0.2417,,0.0036,0.7605,13.5713,55.3996,65.7615,115346828.0,13.6148,63901642.69,-2.8205,,,28.31,2369.5653,51.6078,0.4203,0.3625,2.0664,1.0664,48.3922,0.11,1.6614,0.3561,9.17,-7.1525,2.0175,0.245,216.6796,1010.9275,39.2586,3.3448,
1998-4,27.12,5.99,0.426,0.79,3.8889,0.8546,7.8031,50.046,69.8467,185059189.69,60.4372,92608308.21,44.9333,,,8.14,3373.7618,40.2615,0.5766,0.5435,1.674,0.674,59.7385,0.1056,0.2452,0.2568,1.7381,-1.2361,0.502,0.1559,1468.3705,1401.9636,207.1238,0.8863,
1999-2,,4.2,,,2.3926,0.6436,3.4184,50.3871,76.5098,122027975.23,,61486298.75,,,,5.14,,29.2471,0.3607,0.3304,1.4134,0.4134,70.7529,,0.1521,,1.4554,-1.3033,0.1521,0.0678,1183.6303,,123.6766,0.4424,
1999-4,,4.44,0.55,0.54,2.3926,0.8133,7.5133,52.9958,75.3509,248027630.08,34.0261,131444123.68,41.9356,111843807.23,,10.39,4457.4899,20.6249,0.3258,0.3033,1.2598,0.2598,79.3751,0.4727,0.2775,,1.8606,-1.5831,0.2775,0.1418,1297.4609,,193.4813,1.0981,
2000-2,,4.6,0.583,,2.3926,0.9776,2.7233,38.114,64.4516,122944122.5,0.7508,46858937.02,-23.7896,45210314.02,,3.57,3864.673,28.9939,0.7886,0.7829,1.4083,0.4083,71.0061,0.3103,0.214,,0.8401,-0.6261,0.214,0.0715,841.2455,,214.2513,0.5876,
2000-4,9.36,5.91,0.04,0.48,3.9296,0.7544,4.5831,51.9995,70.2011,286818205.23,15.6396,148836473.64,13.4105,145774209.31,30.3373,6.32,8445.5468,51.9871,0.2947,0.2941,2.0828,1.0837,48.0129,0.0056,1.4543,,1.0478,0.4065,1.4543,0.0881,247.5462,,343.5626,0.7129,
2001-2,3.93,6.14,0.16,0.236,3.947,0.9697,1.9115,40.075,73.1392,234960379.48,91.1115,94085648.47,100.7849,83376088.63,84.4183,3.841,18932.9422,50.3397,0.2765,0.2728,2.0137,1.0146,49.6603,0.0258,1.0377,49.5431,0.722,49.8588,50.5808,0.0477,173.4628,3.6332,249.3013,0.3315,0.8857
2001-4,7.18,6.18,0.79,0.439,3.947,0.9464,3.6816,35.0375,73.061,500224881.82,74.4049,173407800.33,17.6764,150969417.89,3.5639,7.1,7496.7286,46.2237,3.5568,3.5466,1.8596,0.8631,53.7763,0.1486,1.6801,47.9329,0.463,49.15,49.613,0.1051,214.2671,7.5105,777.4589,0.9547,1.8875
