,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2016-4,60.57,2.0,0.84,1.36,0.0893,0.8955,4.8861,9.7599,32.6208,306499926.92,,28662277.66,,23836116.05,,28.6915,,83.6828,0.6376,0.5204,6.1285,5.1285,16.3172,0.0818,81.8889,181.1777,374.3371,-111.2705,263.0666,0.5006,4.3962,1.987,0.9617,1.0483,10.6667
2017-4,35.8,2.71,0.05,0.72,0.0893,1.5967,5.4044,10.8103,35.8164,332276078.6,8.4098,35765117.42,24.7811,28580329.59,19.9035,26.3592,102.7252,80.9729,0.7258,0.6576,5.2557,4.2794,19.0271,0.0042,63.2444,232.8891,394.4773,-98.3438,296.1335,0.4999,5.6922,1.5458,0.9126,1.019,9.4629
2018-2,,,,,,,,5.4234,,90166200.0,,4946600.0,,4130100.0,,,,,,,,,,,,,,,,,,,,,
2018-4,47.18,3.99,1.32,1.28,0.0893,2.877,8.2101,16.4186,41.0126,389035100.05,17.0819,64018911.83,78.9982,60290567.49,110.9513,32.0597,128.1103,76.0407,0.9604,0.89,4.1737,3.1946,23.9593,0.1033,43.1004,262.3907,370.6755,-65.1844,305.4911,0.5,8.3526,1.372,0.9712,0.9484,7.5221
2019-1,4.03,6.25,-0.78,0.08,,,0.4474,6.3866,43.0504,60054600.49,,4027978.63,,3535501.7,,1.1106,47.0296,58.4347,1.4175,1.3049,2.4059,1.4111,41.5653,-0.0882,78.2337,421.1511,507.9007,-8.5159,499.3848,0.07,1.1504,0.2137,0.1772,0.1261,0.9695
2019-2,7.04,6.5525,-1.9122,0.38,,,2.431,11.3147,48.407,180499624.04,100.1855,20082436.17,305.9846,20645029.97,399.8676,5.2842,95.9733,54.6028,,,2.2028,1.2087,45.3972,-0.2414,,,,,,0.2149,,,,,5.8277
2019-3,13.84,6.96,-0.95,0.77,2.7254,3.2128,5.0289,14.4601,46.9399,297496929.33,,42490859.24,,43584142.08,,10.5232,86.2986,53.454,1.3559,1.2306,2.1484,1.1543,46.546,-0.1186,49.2036,281.602,330.5988,0.2068,330.8056,0.3478,5.4874,0.9588,0.8167,0.6635,1.4198
2019-4,31.24,8.3,0.37,2.12,2.7483,4.521,13.652,23.1602,48.2953,514781584.33,32.3227,118851453.65,85.6505,109389734.18,81.4375,24.6851,148.867,46.7475,1.6367,1.5361,1.8778,0.8813,53.2525,0.0501,30.3176,204.1858,254.2552,-19.7518,234.5034,0.5895,11.8743,1.7631,1.4159,1.1003,2.4586
2020-1,1.93,17.9876,-1.2077,0.47,13.2216,3.7419,2.0362,19.971,51.4562,137493257.32,128.9471,27157533.83,574.2224,25245958.42,614.07,1.9523,142.994,22.1384,5.0718,4.9419,1.2843,0.2848,77.8616,-0.2358,24.1669,216.2422,201.4324,38.9767,240.4091,0.102,3.7241,0.4162,0.4468,0.1498,0.3879
2020-2,7.3,17.8716,-1.4791,1.02,13.0227,3.825,5.1578,24.1234,48.5118,288586458.37,59.882,69310253.85,245.1287,63142199.32,205.847,5.0149,150.2929,22.7412,3.824,3.6932,1.2944,0.2948,77.2588,-0.2807,21.4936,211.4662,187.7347,45.2251,232.9598,0.2138,8.3746,0.8512,0.9588,0.3271,0.8151
