,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2013-4,7.75,17.35,2.16,1.29,,,5.1528,7.9652,21.9338,304590318.77,,24261323.56,,20201879.51,,7.4591,,30.9188,2.1534,1.3884,1.4476,0.4476,69.0812,0.2777,152.1298,189.5635,53.2757,288.4176,341.6933,0.6469,2.3664,1.8991,6.7573,0.9777,2.1787
2014-4,3.68,18.0,-1.73,0.65,,,2.3961,2.7424,15.4246,444140858.64,45.8158,12179993.84,-49.7967,10444237.3,-48.3007,3.6095,87.2592,38.1779,1.9727,1.5104,1.6175,0.6175,61.8221,-0.156,83.8848,167.9731,32.8177,219.0402,251.8579,0.8737,4.2916,2.1432,10.9697,1.2635,3.2276
2015-1,3.01,18.55,0.54,0.55,,,1.8904,7.1197,19.5602,144979264.35,,10322141.74,,10194641.74,,2.9682,212.9877,36.333,2.0266,1.5654,1.5707,0.5707,63.667,0.0506,56.7537,160.973,31.792,185.9347,217.7267,0.2655,1.5858,0.5591,2.8309,0.3733,1.0655
2015-2,5.28,,,0.24,,,,6.7293,21.8717,272024766.35,,18305325.38,,18210325.38,,,,,,,,,,,,,,,,,,,,,
2015-4,9.84,4.96,0.9342,0.47,3.4992,0.4191,6.4784,7.1732,23.3464,486934306.21,9.6351,32570960.24,186.7713,34425723.54,229.6145,9.3802,160.5385,30.071,2.3052,1.8278,1.43,0.43,69.929,0.4375,68.8863,184.6722,50.2821,203.2764,253.5585,0.9031,5.226,1.9494,7.1596,1.2878,3.4726
2016-2,5.4,5.24,0.346,0.28,3.4992,0.6946,3.7811,10.3938,29.7933,198787194.2,-26.9231,20661600.87,12.8721,19658140.27,7.9505,5.257,183.6002,29.8656,2.371,1.8308,1.4258,0.4258,70.1344,0.1551,96.3546,234.4361,98.098,232.6927,330.7907,0.3638,1.8681,0.7678,1.8349,0.5249,1.372
2016-4,8.38,5.36,0.4337,0.4314,3.4992,0.7791,5.8115,8.6262,27.7446,375052947.56,-22.9767,32352739.35,-0.67,29385015.21,-8.3664,8.0407,143.4994,30.735,2.3352,1.7701,1.4437,0.4437,69.265,0.1822,109.4724,239.4732,98.5734,250.3722,348.9456,0.6737,3.2885,1.5033,3.6521,0.9618,2.6506
2017-2,3.77,5.47,-0.1382,0.21,3.4992,0.885,2.5855,7.2251,22.7253,213782672.7,7.5435,15445922.82,-25.2433,14828150.52,-24.5699,3.7645,149.7948,33.1621,2.2492,1.6744,1.4962,0.4962,66.8379,-0.0509,111.7041,221.0759,89.704,243.076,332.78,0.3579,1.6114,0.8142,2.0066,0.4905,1.5978
2017-4,4.57,5.34,0.24,0.2403,3.4992,0.7483,2.9152,3.9433,20.9379,457109632.66,21.8787,18025252.36,-44.2852,15265600.0,-48.0497,4.4992,74.3089,38.9028,1.9273,1.5015,1.6367,0.6367,61.0972,0.07,99.324,193.8089,66.0841,227.0488,293.1329,0.7393,3.6245,1.8575,5.4476,1.0092,3.2818
2018-2,3.93,5.63,-0.0819,0.22,3.4992,1.0169,2.4195,5.8297,20.1119,276794097.24,29.4745,16136152.46,4.4687,14849863.06,0.1464,3.8195,148.7151,37.6997,2.0575,1.6213,1.6051,0.6051,62.3003,-0.024,85.4052,,,85.4052,85.4052,0.415,2.1076,,,0.5449,2.0327
