,avg_roe,np_per_share,operate_cash_flow_ps,basic_eps,capital_reserve,undistri_profit_ps,net_interest_of_total_assets,net_selling_rate,gross_selling_rate,total_revenue,operating_income_yoy,net_profit_atsopc,net_profit_atsopc_yoy,net_profit_after_nrgal_atsolc,np_atsopc_nrgal_yoy,ore_dlt,rop,asset_liab_ratio,current_ratio,quick_ratio,equity_multiplier,equity_ratio,holder_equity,ncf_from_oa_to_total_liab,inventory_turnover_days,receivable_turnover_days,accounts_payable_turnover_days,cash_cycle,operating_cycle,total_capital_turnover,inventory_turnover,account_receivable_turnover,accounts_payable_turnover,current_asset_turnover_rate,fixed_asset_turnover_ratio
2005-4,23.12,1.9959,-0.04,0.45,0.0356,0.818,6.9916,6.9622,18.7528,177184059.96,,12335880.89,,12424367.01,,18.51,,56.031,1.145,0.9271,2.2743,1.4834,43.969,-0.0145,36.6666,116.9591,65.0924,88.5333,153.6257,1.0042,9.8182,3.078,5.5306,1.5653,3.7822
2006-4,26.36,2.3392,0.67,0.58,0.4001,0.7432,7.6466,7.9249,20.252,254058340.0,43.3867,20294358.63,64.5149,20409724.34,64.2717,21.42,104.1262,68.7853,0.8843,0.6777,3.2036,2.5425,31.2147,0.1126,53.4236,93.5259,101.2003,45.7492,146.9495,0.9649,6.7386,3.8492,3.5573,1.5577,2.9307
2007-1,,,-0.13,0.05,,,,6.6109,18.5995,92956796.16,,6019804.03,,,,,,,,,,,,,,,,,,,,,,,
2007-2,,,,,,,,7.9004,19.7391,196197446.0,,14620236.44,,,,,,,,,,,,,,,,,,,,,,,
2007-3,,,,,,,,8.0472,19.6698,318334259.93,,23351838.06,,,,,,,,,,,,,,,,,,,,,,,
2007-4,31.04,1.5588,0.31,0.51,0.1055,0.4148,10.5515,8.4616,19.1648,463784070.3,82.5502,35091737.19,72.9138,37653057.43,84.4859,30.02,107.4867,63.8238,1.1985,0.8935,2.7642,2.1492,36.1762,0.0914,48.6414,74.474,71.0578,52.0576,123.1154,1.247,7.4011,4.8339,5.0663,2.0189,3.532
2008-1,,1.68,-0.02,0.12,0.1055,0.5341,2.6774,8.3383,19.4437,133920768.95,44.0678,9182943.15,52.5455,9042967.66,,7.28,109.6471,65.1302,1.2075,0.744,2.8678,2.2751,34.8698,-0.0063,54.7512,77.7269,49.2881,83.19,132.4781,0.3211,1.6438,1.1579,1.826,0.4998,0.9729
2008-2,10.88,3.73,-0.12,0.27,2.1695,0.5292,5.2394,9.16,19.9181,300525685.81,53.1751,22421540.95,53.3596,22321788.85,,6.01,125.1448,38.5243,1.9281,1.5675,1.6267,0.678,61.4757,-0.0456,49.3651,74.1198,37.8995,85.5854,123.4849,0.572,3.6463,2.4285,4.7494,0.8254,2.2065
2008-3,0.0,3.79,-0.06,0.42,2.0809,0.6582,8.1902,8.9749,19.6589,477866177.74,50.1146,36962880.67,58.2868,34262430.45,,9.75,117.0492,41.6787,1.713,1.3029,1.7146,0.7187,58.3213,-0.0237,51.6915,79.4866,50.6652,80.5129,131.1781,0.9126,5.2233,3.3968,5.3291,1.351,3.3029
2008-4,17.11,3.93,0.17,0.56,2.0713,0.806,10.565,8.9996,18.8217,637521932.91,37.4609,51057763.85,45.498,48362434.26,28.4423,12.99,104.7913,42.8662,1.6887,1.1907,1.7503,0.755,57.1338,0.056,51.2062,77.1027,39.9467,88.3622,128.3089,1.174,7.0304,4.6691,9.012,1.7058,4.4529
2009-1,0.0,4.03,-0.19,0.1,2.0713,0.9079,1.515,7.0023,18.9135,147722173.41,10.3056,10194519.37,11.0158,9499658.09,5.0502,2.53,63.7257,39.6876,1.5941,1.0789,1.658,0.6623,60.3124,-0.0706,75.0125,92.0999,46.5766,120.5358,167.1124,0.2164,1.1998,0.9772,1.9323,0.3188,0.8257
2009-2,6.62,2.08,-0.16,0.14,0.6165,0.4309,3.4052,7.5689,19.4598,354018327.52,17.7997,26645742.86,18.8399,24838598.2,11.2751,6.75,74.7051,54.9087,1.2428,0.9585,2.2177,1.2258,45.0913,-0.0614,65.3524,85.5432,44.2369,106.6587,150.8956,0.4499,2.7543,2.1042,4.069,0.6422,1.8807
2009-3,0.0,2.19,-0.13,0.25,0.6165,0.5404,5.7022,7.8354,20.3555,610111590.47,27.6742,47618665.73,28.8283,45843716.08,33.8017,11.45,86.8353,57.1849,1.2183,0.8525,2.3356,1.3538,42.8151,-0.0432,67.0092,84.0232,48.3741,102.6583,151.0324,0.7277,4.0293,3.2134,5.5815,1.0282,3.1404
2009-4,16.3,2.29,-0.13,0.35,0.6165,0.6419,7.3439,7.5732,20.1716,885929329.01,38.9645,67190967.36,31.5979,64141247.3,32.6262,15.4346,80.8461,60.538,1.0798,0.7402,2.5341,1.578,39.462,-0.0356,69.8717,81.6641,49.9376,101.5982,151.5358,0.9697,5.1523,4.4083,7.209,1.4509,3.9666
2010-1,2.64,2.25,-0.07,0.06,0.6165,0.6033,0.9915,4.0277,18.5078,291320322.22,97.2083,11667398.18,14.4478,10719695.06,12.843,2.7261,50.4478,64.0044,1.0479,0.6393,2.7781,1.8426,35.9956,-0.0177,84.12,77.3728,53.5396,107.9532,161.4928,0.2462,1.0699,1.1632,1.681,0.3864,0.9374
2010-2,6.61,3.55,-0.09,0.16,1.9079,0.6048,2.206,4.5818,18.2661,654923104.8,84.9969,29534056.94,10.8397,27253709.95,9.7232,3.8342,60.7306,50.1344,1.5047,1.1143,2.0054,1.0321,49.8656,-0.0245,73.049,76.4688,49.6744,99.8434,149.5178,0.4815,2.4641,2.3539,3.6236,0.7176,2.0608
2010-3,8.82,3.64,-0.1,0.25,1.9079,0.6972,3.8234,4.7699,17.6426,1054606979.21,72.8548,49389865.81,3.7195,44434484.06,-3.074,6.2508,61.4845,45.8102,1.5884,1.0228,1.8454,0.8677,54.1898,-0.0306,77.6576,76.2045,50.651,103.2111,153.8621,0.8016,3.4768,3.5431,5.3306,1.2389,3.284
