,symbol,name,codename,industry
113,SH600151,航天机电,SH600151 航天机电,光伏设备
114,SH600152,维科技术,SH600152 维科技术,电池
115,SH600153,建发股份,SH600153 建发股份,物流
116,SH600155,华创阳安,SH600155 华创阳安,证券
117,SH600156,华升股份,SH600156 华升股份,纺织制造
118,SH600157,永泰能源,SH600157 永泰能源,煤炭开采
119,SH600158,中体产业,SH600158 中体产业,体育
120,SH600159,大龙地产,SH600159 大龙地产,房地产开发
121,SH600160,巨化股份,SH600160 巨化股份,化学制品
122,SH600161,天坛生物,SH600161 天坛生物,生物制品
123,SH600162,香江控股,SH600162 香江控股,房地产开发
124,SH600163,中闽能源,SH600163 中闽能源,电力
125,SH600165,宁科生物,SH600165 宁科生物,
126,SH600166,福田汽车,SH600166 福田汽车,商用车
127,SH600167,联美控股,SH600167 联美控股,电力
128,SH600168,武汉控股,SH600168 武汉控股,环境治理
129,SH600169,太原重工,SH600169 太原重工,专用设备
130,SH600170,上海建工,SH600170 上海建工,房屋建设
131,SH600171,上海贝岭,SH600171 上海贝岭,半导体
132,SH600172,黄河旋风,SH600172 黄河旋风,通用设备
133,SH600173,卧龙地产,SH600173 卧龙地产,房地产开发
134,SH600176,中国巨石,SH600176 中国巨石,玻璃玻纤
135,SH600177,雅戈尔,SH600177 雅戈尔,服装家纺
136,SH600178,东安动力,SH600178 东安动力,
137,SH600179,安通控股,SH600179 安通控股,航运港口
138,SH600180,瑞茂通,SH600180 瑞茂通,物流
139,SH600182,S*ST佳通,SH600182 S*ST佳通,汽车零部件
140,SH600183,生益科技,SH600183 生益科技,元件
141,SH600184,光电股份,SH600184 光电股份,地面兵装
142,SH600185,格力地产,SH600185 格力地产,
143,SH600186,莲花健康,SH600186 莲花健康,调味发酵品
144,SH600187,国中水务,SH600187 国中水务,环境治理
145,SH600188,兖矿能源,SH600188 兖矿能源,煤炭开采
146,SH600189,泉阳泉,SH600189 泉阳泉,饮料乳品
147,SH600190,锦州港,SH600190 锦州港,航运港口
148,SH600191,华资实业,SH600191 华资实业,农产品加工
149,SH600192,长城电工,SH600192 长城电工,
150,SH600193,创兴资源,SH600193 创兴资源,装修装饰
151,SH600195,中牧股份,SH600195 中牧股份,动物保健
152,SH600196,复星医药,SH600196 复星医药,化学制药
153,SH600197,伊力特,SH600197 伊力特,白酒
154,SH600198,大唐电信,SH600198 大唐电信,通信设备
155,SH600199,金种子酒,SH600199 金种子酒,白酒
156,SH600200,江苏吴中,SH600200 江苏吴中,
157,SH600201,生物股份,SH600201 生物股份,动物保健
158,SH600202,哈空调,SH600202 哈空调,通用设备
159,SH600203,福日电子,SH600203 福日电子,消费电子
160,SH600206,有研新材,SH600206 有研新材,半导体
161,SH600207,安彩高科,SH600207 安彩高科,光伏设备
162,SH600208,新湖中宝,SH600208 新湖中宝,房地产开发
163,SH600210,紫江企业,SH600210 紫江企业,包装印刷
164,SH600211,西藏药业,SH600211 西藏药业,中药
165,SH600212,绿能慧充,SH600212 绿能慧充,综合
166,SH600213,亚星客车,SH600213 亚星客车,商用车
167,SH600215,派斯林,SH600215 派斯林,自动化设备
168,SH600216,浙江医药,SH600216 浙江医药,化学制药
169,SH600217,中再资环,SH600217 中再资环,环境治理
170,SH600218,全柴动力,SH600218 全柴动力,
171,SH600219,南山铝业,SH600219 南山铝业,工业金属
172,SH600220,江苏阳光,SH600220 江苏阳光,纺织制造
173,SH600221,海航控股,SH600221 海航控股,航空机场
174,SH600222,太龙药业,SH600222 太龙药业,中药
175,SH600223,鲁商发展,SH600223 鲁商发展,房地产开发
176,SH600225,卓朗科技,SH600225 卓朗科技,IT服务
177,SH600226,ST瀚叶,SH600226 ST瀚叶,电力
178,SH600227,圣济堂,SH600227 圣济堂,农化制品
179,SH600228,返利科技,SH600228 返利科技,数字媒体
180,SH600229,城市传媒,SH600229 城市传媒,出版
181,SH600230,沧州大化,SH600230 沧州大化,
182,SH600231,凌钢股份,SH600231 凌钢股份,普钢
183,SH600232,金鹰股份,SH600232 金鹰股份,专用设备
184,SH600233,圆通速递,SH600233 圆通速递,物流
185,SH600234,科新发展,SH600234 科新发展,综合
186,SH600235,民丰特纸,SH600235 民丰特纸,造纸
187,SH600236,桂冠电力,SH600236 桂冠电力,电力
188,SH600237,铜峰电子,SH600237 铜峰电子,元件
189,SH600238,海南椰岛,SH600238 海南椰岛,非白酒
190,SH600239,ST云城,SH600239 ST云城,房地产开发
191,SH600241,ST时万,SH600241 ST时万,电池
192,SH600243,青海华鼎,SH600243 青海华鼎,
193,SH600246,万通发展,SH600246 万通发展,
194,SH600248,陕西建工,SH600248 陕西建工,房屋建设
195,SH600249,两面针,SH600249 两面针,个护用品
196,SH600250,南纺股份,SH600250 南纺股份,贸易
197,SH600251,冠农股份,SH600251 冠农股份,农产品加工
198,SH600252,中恒集团,SH600252 中恒集团,中药
199,SH600255,鑫科材料,SH600255 鑫科材料,金属新材料
200,SH600256,广汇能源,SH600256 广汇能源,炼化及贸易
201,SH600257,大湖股份,SH600257 大湖股份,渔业
202,SH600258,首旅酒店,SH600258 首旅酒店,酒店餐饮
203,SH600259,广晟有色,SH600259 广晟有色,小金属
204,SH600261,阳光照明,SH600261 阳光照明,照明设备
205,SH600262,北方股份,SH600262 北方股份,
206,SH600265,ST景谷,SH600265 ST景谷,林业
207,SH600266,城建发展,SH600266 城建发展,房地产开发
208,SH600267,海正药业,SH600267 海正药业,化学制药
209,SH600268,国电南自,SH600268 国电南自,电网设备
210,SH600269,赣粤高速,SH600269 赣粤高速,铁路公路
211,SH600271,航天信息,SH600271 航天信息,IT服务
212,SH600272,开开实业,SH600272 开开实业,医药商业
213,SH600273,嘉化能源,SH600273 嘉化能源,化学制品
214,SH600276,恒瑞医药,SH600276 恒瑞医药,化学制药
215,SH600277,亿利洁能,SH600277 亿利洁能,化学原料
216,SH600278,东方创业,SH600278 东方创业,贸易
217,SH600279,重庆港,SH600279 重庆港,航运港口
218,SH600280,中央商场,SH600280 中央商场,一般零售
219,SH600281,华阳新材,SH600281 华阳新材,小金属
220,SH600282,南钢股份,SH600282 南钢股份,普钢
221,SH600283,钱江水利,SH600283 钱江水利,环境治理
222,SH600284,浦东建设,SH600284 浦东建设,基础建设
223,SH600285,羚锐制药,SH600285 羚锐制药,中药
224,SH600287,江苏舜天,SH600287 江苏舜天,贸易
225,SH600288,大恒科技,SH600288 大恒科技,其他电子
226,SH600289,ST信通,SH600289 ST信通,通信服务
227,SH600290,ST华仪,SH600290 ST华仪,电网设备
228,SH600292,远达环保,SH600292 远达环保,环境治理
229,SH600293,三峡新材,SH600293 三峡新材,玻璃玻纤
230,SH600295,鄂尔多斯,SH600295 鄂尔多斯,冶钢原料
231,SH600297,广汇汽车,SH600297 广汇汽车,汽车服务
232,SH600298,安琪酵母,SH600298 安琪酵母,调味发酵品
233,SH600299,安迪苏,SH600299 安迪苏,化学制品
234,SH600300,维维股份,SH600300 维维股份,饮料乳品
235,SH600301,南化股份,SH600301 南化股份,工程咨询服务
236,SH600302,标准股份,SH600302 标准股份,
237,SH600303,ST曙光,SH600303 ST曙光,商用车
238,SH600305,恒顺醋业,SH600305 恒顺醋业,调味发酵品
239,SH600306,*ST商城,SH600306 *ST商城,一般零售
240,SH600307,酒钢宏兴,SH600307 酒钢宏兴,普钢
241,SH600308,华泰股份,SH600308 华泰股份,造纸
242,SH600309,万华化学,SH600309 万华化学,化学制品
243,SH600310,桂东电力,SH600310 桂东电力,电力
244,SH600312,平高电气,SH600312 平高电气,电网设备
245,SH600313,农发种业,SH600313 农发种业,种植业
246,SH600315,上海家化,SH600315 上海家化,化妆品
247,SH600316,洪都航空,SH600316 洪都航空,航空装备
248,SH600318,新力金融,SH600318 新力金融,多元金融
249,SH600319,亚星化学,SH600319 亚星化学,化学原料
250,SH600320,振华重工,SH600320 振华重工,专用设备
251,SH600321,正源股份,SH600321 正源股份,专业工程
252,SH600322,天房发展,SH600322 天房发展,房地产开发
253,SH600323,瀚蓝环境,SH600323 瀚蓝环境,环境治理
254,SH600325,华发股份,SH600325 华发股份,
255,SH600326,西藏天路,SH600326 西藏天路,水泥
256,SH600327,大东方,SH600327 大东方,汽车服务
257,SH600328,中盐化工,SH600328 中盐化工,化学原料
258,SH600329,达仁堂,SH600329 达仁堂,中药
259,SH600330,天通股份,SH600330 天通股份,专用设备
260,SH600331,宏达股份,SH600331 宏达股份,农化制品
261,SH600332,白云山,SH600332 白云山,中药
262,SH600333,长春燃气,SH600333 长春燃气,燃气
263,SH600335,国机汽车,SH600335 国机汽车,汽车服务
264,SH600336,澳柯玛,SH600336 澳柯玛,白色家电
265,SH600337,美克家居,SH600337 美克家居,家居用品
266,SH600338,西藏珠峰,SH600338 西藏珠峰,工业金属
267,SH600339,中油工程,SH600339 中油工程,油服工程
268,SH600340,华夏幸福,SH600340 华夏幸福,房地产开发
269,SH600343,航天动力,SH600343 航天动力,
270,SH600345,长江通信,SH600345 长江通信,通信设备
271,SH600346,恒力石化,SH600346 恒力石化,炼化及贸易
272,SH600348,华阳股份,SH600348 华阳股份,煤炭开采
273,SH600350,山东高速,SH600350 山东高速,铁路公路
274,SH600351,亚宝药业,SH600351 亚宝药业,中药
275,SH600352,浙江龙盛,SH600352 浙江龙盛,化学制品
276,SH600353,旭光电子,SH600353 旭光电子,其他电子
277,SH600354,敦煌种业,SH600354 敦煌种业,种植业
278,SH600355,精伦电子,SH600355 精伦电子,通信设备
279,SH600356,恒丰纸业,SH600356 恒丰纸业,造纸
280,SH600358,国旅联合,SH600358 国旅联合,广告营销
281,SH600359,新农开发,SH600359 新农开发,种植业
282,SH600360,华微电子,SH600360 华微电子,半导体
283,SH600361,创新新材,SH600361 创新新材,一般零售
284,SH600362,江西铜业,SH600362 江西铜业,工业金属
285,SH600363,联创光电,SH600363 联创光电,消费电子
286,SH600365,ST通葡,SH600365 ST通葡,互联网电商
287,SH600366,宁波韵升,SH600366 宁波韵升,金属新材料
288,SH600367,红星发展,SH600367 红星发展,化学原料
289,SH600368,五洲交通,SH600368 五洲交通,铁路公路
290,SH600369,西南证券,SH600369 西南证券,证券
291,SH600370,三房巷,SH600370 三房巷,化学纤维
292,SH600371,万向德农,SH600371 万向德农,种植业
293,SH600372,中航电子,SH600372 中航电子,航空装备
294,SH600375,汉马科技,SH600375 汉马科技,商用车
295,SH600376,首开股份,SH600376 首开股份,房地产开发
296,SH600377,宁沪高速,SH600377 宁沪高速,铁路公路
297,SH600378,昊华科技,SH600378 昊华科技,
298,SH600379,宝光股份,SH600379 宝光股份,电网设备
299,SH600380,健康元,SH600380 健康元,化学制药
300,SH600381,青海春天,SH600381 青海春天,食品加工
301,SH600382,ST广珠,SH600382 ST广珠,冶钢原料
302,SH600383,金地集团,SH600383 金地集团,房地产开发
303,SH600386,北巴传媒,SH600386 北巴传媒,汽车服务
304,SH600387,海越能源,SH600387 海越能源,炼化及贸易
305,SH600388,ST龙净,SH600388 ST龙净,环保设备
306,SH600389,江山股份,SH600389 江山股份,农化制品
307,SH600390,五矿资本,SH600390 五矿资本,多元金融
308,SH600391,航发科技,SH600391 航发科技,航空装备
309,SH600392,盛和资源,SH600392 盛和资源,小金属
310,SH600393,粤泰股份,SH600393 粤泰股份,
311,SH600395,盘江股份,SH600395 盘江股份,煤炭开采
312,SH600396,金山股份,SH600396 金山股份,电力
313,SH600397,安源煤业,SH600397 安源煤业,煤炭开采
314,SH600398,海澜之家,SH600398 海澜之家,服装家纺
315,SH600399,抚顺特钢,SH600399 抚顺特钢,特钢
316,SH600400,红豆股份,SH600400 红豆股份,服装家纺
317,SH600403,大有能源,SH600403 大有能源,煤炭开采
318,SH600405,动力源,SH600405 动力源,其他电源设备
319,SH600406,国电南瑞,SH600406 国电南瑞,电网设备
320,SH600408,安泰集团,SH600408 安泰集团,焦炭
321,SH600409,三友化工,SH600409 三友化工,化学原料
322,SH600410,华胜天成,SH600410 华胜天成,IT服务
323,SH600415,小商品城,SH600415 小商品城,一般零售
324,SH600416,湘电股份,SH600416 湘电股份,风电设备
325,SH600418,江淮汽车,SH600418 江淮汽车,商用车
326,SH600419,天润乳业,SH600419 天润乳业,饮料乳品
327,SH600420,国药现代,SH600420 国药现代,
328,SH600421,华嵘控股,SH600421 华嵘控股,
329,SH600422,昆药集团,SH600422 昆药集团,中药
330,SH600423,柳化股份,SH600423 柳化股份,农化制品
331,SH600425,青松建化,SH600425 青松建化,水泥
332,SH600426,华鲁恒升,SH600426 华鲁恒升,农化制品
333,SH600428,中远海特,SH600428 中远海特,航运港口
334,SH600429,三元股份,SH600429 三元股份,饮料乳品
335,SH600433,冠豪高新,SH600433 冠豪高新,造纸
336,SH600435,北方导航,SH600435 北方导航,地面兵装
337,SH600436,片仔癀,SH600436 片仔癀,中药
338,SH600438,通威股份,SH600438 通威股份,光伏设备
339,SH600439,瑞贝卡,SH600439 瑞贝卡,饰品
340,SH600444,国机通用,SH600444 国机通用,专用设备
341,SH600446,金证股份,SH600446 金证股份,IT服务
342,SH600448,华纺股份,SH600448 华纺股份,纺织制造
343,SH600449,宁夏建材,SH600449 宁夏建材,水泥
344,SH600452,涪陵电力,SH600452 涪陵电力,电力
345,SH600455,博通股份,SH600455 博通股份,软件开发
346,SH600456,宝钛股份,SH600456 宝钛股份,小金属
347,SH600458,时代新材,SH600458 时代新材,风电设备
348,SH600459,贵研铂业,SH600459 贵研铂业,小金属
349,SH600460,士兰微,SH600460 士兰微,半导体
350,SH600461,洪城环境,SH600461 洪城环境,环境治理
351,SH600462,ST九有,SH600462 ST九有,通信设备
352,SH600463,空港股份,SH600463 空港股份,房地产开发
353,SH600466,蓝光发展,SH600466 蓝光发展,
354,SH600467,好当家,SH600467 好当家,渔业
355,SH600468,百利电气,SH600468 百利电气,电网设备
356,SH600469,风神股份,SH600469 风神股份,汽车零部件
357,SH600470,六国化工,SH600470 六国化工,农化制品
358,SH600475,华光环能,SH600475 华光环能,其他电源设备
359,SH600476,湘邮科技,SH600476 湘邮科技,IT服务
360,SH600477,杭萧钢构,SH600477 杭萧钢构,专业工程
361,SH600478,科力远,SH600478 科力远,电池
362,SH600479,千金药业,SH600479 千金药业,中药
363,SH600480,凌云股份,SH600480 凌云股份,汽车零部件
364,SH600481,双良节能,SH600481 双良节能,通用设备
365,SH600482,中国动力,SH600482 中国动力,其他电源设备
366,SH600483,福能股份,SH600483 福能股份,电力
367,SH600486,扬农化工,SH600486 扬农化工,农化制品
368,SH600487,亨通光电,SH600487 亨通光电,通信设备
369,SH600488,津药药业,SH600488 津药药业,化学制药
370,SH600489,中金黄金,SH600489 中金黄金,贵金属
371,SH600490,鹏欣资源,SH600490 鹏欣资源,工业金属
372,SH600491,龙元建设,SH600491 龙元建设,房屋建设
373,SH600493,凤竹纺织,SH600493 凤竹纺织,纺织制造
374,SH600495,晋西车轴,SH600495 晋西车轴,轨交设备
375,SH600496,精工钢构,SH600496 精工钢构,专业工程
376,SH600497,驰宏锌锗,SH600497 驰宏锌锗,工业金属
377,SH600498,烽火通信,SH600498 烽火通信,通信设备
378,SH600499,科达制造,SH600499 科达制造,专用设备
379,SH600500,中化国际,SH600500 中化国际,化学制品
380,SH600501,航天晨光,SH600501 航天晨光,专用设备
381,SH600502,安徽建工,SH600502 安徽建工,基础建设
382,SH600503,华丽家族,SH600503 华丽家族,房地产开发
383,SH600505,西昌电力,SH600505 西昌电力,电力
384,SH600506,统一股份,SH600506 统一股份,炼化及贸易
385,SH600507,方大特钢,SH600507 方大特钢,特钢
386,SH600508,上海能源,SH600508 上海能源,煤炭开采
387,SH600509,天富能源,SH600509 天富能源,电力
388,SH600510,黑牡丹,SH600510 黑牡丹,房地产开发
389,SH600511,国药股份,SH600511 国药股份,医药商业
390,SH600512,腾达建设,SH600512 腾达建设,基础建设
391,SH600513,联环药业,SH600513 联环药业,化学制药
392,SH600515,海南机场,SH600515 海南机场,综合
393,SH600516,方大炭素,SH600516 方大炭素,冶钢原料
394,SH600517,国网英大,SH600517 国网英大,多元金融
395,SH600518,ST康美,SH600518 ST康美,中药
396,SH600519,贵州茅台,SH600519 贵州茅台,白酒
397,SH600520,文一科技,SH600520 文一科技,
398,SH600521,华海药业,SH600521 华海药业,化学制药
399,SH600522,中天科技,SH600522 中天科技,通信设备
400,SH600523,贵航股份,SH600523 贵航股份,
401,SH600525,长园集团,SH600525 长园集团,电网设备
402,SH600526,菲达环保,SH600526 菲达环保,环保设备
403,SH600527,江南高纤,SH600527 江南高纤,纺织制造
404,SH600528,中铁工业,SH600528 中铁工业,轨交设备
405,SH600529,山东药玻,SH600529 山东药玻,医疗器械
406,SH600530,交大昂立,SH600530 交大昂立,食品加工
407,SH600531,豫光金铅,SH600531 豫光金铅,工业金属
408,SH600532,*ST未来,SH600532 *ST未来,煤炭开采
409,SH600533,栖霞建设,SH600533 栖霞建设,房地产开发
410,SH600535,天士力,SH600535 天士力,中药
411,SH600536,中国软件,SH600536 中国软件,IT服务
412,SH600537,亿晶光电,SH600537 亿晶光电,光伏设备
413,SH600538,国发股份,SH600538 国发股份,医药商业
414,SH600539,狮头股份,SH600539 狮头股份,互联网电商
415,SH600540,新赛股份,SH600540 新赛股份,种植业
416,SH600543,莫高股份,SH600543 莫高股份,非白酒
417,SH600545,卓郎智能,SH600545 卓郎智能,专用设备
418,SH600546,山煤国际,SH600546 山煤国际,煤炭开采
419,SH600547,山东黄金,SH600547 山东黄金,贵金属
420,SH600548,深高速,SH600548 深高速,铁路公路
421,SH600549,厦门钨业,SH600549 厦门钨业,小金属
422,SH600550,保变电气,SH600550 保变电气,电网设备
423,SH600551,时代出版,SH600551 时代出版,出版
424,SH600552,凯盛科技,SH600552 凯盛科技,光学光电子
425,SH600556,天下秀,SH600556 天下秀,广告营销
426,SH600557,康缘药业,SH600557 康缘药业,中药
427,SH600558,大西洋,SH600558 大西洋,通用设备
428,SH600559,老白干酒,SH600559 老白干酒,白酒
429,SH600560,金自天正,SH600560 金自天正,
430,SH600561,江西长运,SH600561 江西长运,铁路公路
431,SH600562,国睿科技,SH600562 国睿科技,军工电子
432,SH600563,法拉电子,SH600563 法拉电子,元件
433,SH600565,迪马股份,SH600565 迪马股份,房地产开发
434,SH600566,济川药业,SH600566 济川药业,中药
435,SH600567,山鹰国际,SH600567 山鹰国际,造纸
436,SH600568,ST中珠,SH600568 ST中珠,医疗服务
437,SH600569,安阳钢铁,SH600569 安阳钢铁,普钢
438,SH600570,恒生电子,SH600570 恒生电子,软件开发
439,SH600571,信雅达,SH600571 信雅达,IT服务
440,SH600572,康恩贝,SH600572 康恩贝,中药
441,SH600573,惠泉啤酒,SH600573 惠泉啤酒,非白酒
442,SH600575,淮河能源,SH600575 淮河能源,煤炭开采
443,SH600576,祥源文旅,SH600576 祥源文旅,影视院线
444,SH600577,精达股份,SH600577 精达股份,电网设备
445,SH600578,京能电力,SH600578 京能电力,电力
446,SH600579,克劳斯,SH600579 克劳斯,专用设备
447,SH600580,卧龙电驱,SH600580 卧龙电驱,电机
448,SH600581,八一钢铁,SH600581 八一钢铁,普钢
449,SH600582,天地科技,SH600582 天地科技,专用设备
450,SH600583,海油工程,SH600583 海油工程,油服工程
451,SH600584,长电科技,SH600584 长电科技,半导体
452,SH600585,海螺水泥,SH600585 海螺水泥,水泥
453,SH600586,金晶科技,SH600586 金晶科技,玻璃玻纤
454,SH600587,新华医疗,SH600587 新华医疗,医疗器械
455,SH600588,用友网络,SH600588 用友网络,软件开发
456,SH600589,ST榕泰,SH600589 ST榕泰,塑料
457,SH600590,泰豪科技,SH600590 泰豪科技,军工电子
458,SH600592,龙溪股份,SH600592 龙溪股份,
459,SH600594,益佰制药,SH600594 益佰制药,中药
460,SH600595,中孚实业,SH600595 中孚实业,工业金属
461,SH600596,新安股份,SH600596 新安股份,化学制品
462,SH600597,光明乳业,SH600597 光明乳业,饮料乳品
463,SH600598,北大荒,SH600598 北大荒,种植业
464,SH600599,ST熊猫,SH600599 ST熊猫,多元金融
465,SH600600,青岛啤酒,SH600600 青岛啤酒,非白酒
466,SH600601,*ST方科,SH600601 *ST方科,元件
467,SH600602,云赛智联,SH600602 云赛智联,软件开发
468,SH600603,广汇物流,SH600603 广汇物流,房地产开发
469,SH600604,市北高新,SH600604 市北高新,
470,SH600605,汇通能源,SH600605 汇通能源,一般零售
471,SH600606,绿地控股,SH600606 绿地控股,房地产开发
472,SH600608,ST沪科,SH600608 ST沪科,贸易
473,SH600609,金杯汽车,SH600609 金杯汽车,汽车零部件
474,SH600610,中毅达,SH600610 中毅达,化学原料
475,SH600611,大众交通,SH600611 大众交通,铁路公路
476,SH600612,老凤祥,SH600612 老凤祥,饰品
477,SH600613,神奇制药,SH600613 神奇制药,化学制药
478,SH600616,金枫酒业,SH600616 金枫酒业,非白酒
479,SH600617,国新能源,SH600617 国新能源,燃气
480,SH600618,氯碱化工,SH600618 氯碱化工,化学原料
481,SH600619,海立股份,SH600619 海立股份,家电零部件
482,SH600620,天宸股份,SH600620 天宸股份,综合
483,SH600621,华鑫股份,SH600621 华鑫股份,证券
484,SH600622,光大嘉宝,SH600622 光大嘉宝,房地产开发
485,SH600623,华谊集团,SH600623 华谊集团,化学原料
486,SH600624,复旦复华,SH600624 复旦复华,化学制药
487,SH600626,申达股份,SH600626 申达股份,汽车零部件
488,SH600628,新世界,SH600628 新世界,一般零售
489,SH600629,华建集团,SH600629 华建集团,工程咨询服务
490,SH600630,龙头股份,SH600630 龙头股份,服装家纺
