,symbol,net_profit_cagr,north_net_inflow,ps,type,percent,has_follow,tick_size,pb_ttm,float_shares,current,amplitude,pcf,current_year_percent,float_market_capital,north_net_inflow_time,market_capital,dividend_yield,lot_size,roe_ttm,total_percent,percent5m,income_cagr,amount,chg,issue_date_ts,eps,main_net_inflows,volume,volume_ratio,pb,followers,turnover_rate,first_percent,name,pe_ttm,total_shares,limitup_days,codename
11,SH600017,-0.0263706587463219,1639621.183999898,1.1773,11,0.7,False,0.01,0.65,3075653888,2.87,1.4,3.6196,1.77,8827126659.0,1681315200000.0,8827126659.0,1.394,100,4.732698430229546,53.64,0.0,12.643870775107269,82219480.0,0.02,1161014400000,0.21,10585257.0,28717160.0,0.99,0.649,36795.0,0.93,37.23,日照港,13.993,3075653888,0,SH600017 日照港
12,SH600018,23.869626817944532,2820061.238135604,3.4851,11,0.18,False,0.01,1.1567,23173674650,5.58,1.44,9.4193,4.49,129309104547.0,1681315200000.0,129925527705.0,2.509,100,16.23992215593581,318.7,-0.18,1.076207687438635,87440615.0,0.01,963936000000,0.74,-13257685.0,15715515.0,0.89,1.158,98187.0,0.07,66.94,上港集团,7.543,23284144750,0,SH600018 上港集团
13,SH600019,-5.878020051575572,-20360597.1279638,0.4148,11,0.29,False,0.01,0.7928,21893918984,6.89,1.6,2.8288,23.26,150849101800.0,1681315200000.0,153386559612.0,6.241,100,5.971275953844878,323.82,0.15,7.780302164825148,223268974.0,0.02,976550400000,0.52,-255236.0,32449917.0,0.52,0.784,284001.0,0.15,45.69,宝钢股份,13.332,22262200234,0,SH600019 宝钢股份
14,SH600020,-35.60733883460113,,0.9856,11,0.0,False,0.01,0.7054,2247371832,3.25,1.23,3.7884,9.8,7303958454.0,,7303958454.0,3.077,100,2.885195040817285,74.98,-0.31,10.34186138252391,14145263.0,0.0,1060272000000,0.17,-881209.0,4353861.0,0.77,0.684,34183.0,0.19,19.81,中原高速,19.377,2247371832,0,SH600020 中原高速
15,SH600021,-30.66561611451607,8108011.990642132,0.7567,11,2.43,False,0.01,1.8358,2617164197,10.52,3.12,2.4405,5.09,27532567352.0,1681315200000.0,29632143145.0,0.333,100,1.6445593501548603,176.36,0.1,18.239641648244653,732625686.0,0.25,1067356800000,0.11,149942095.0,69998978.0,1.82,1.839,93798.0,2.67,49.48,上海电力,92.379,2816743645,0,SH600021 上海电力
16,SH600022,-1.3956872050304825,2660955.09689636,0.1663,11,-0.63,False,0.01,0.7789,10698849554,1.59,1.25,3.1162,7.43,17011170791.0,1681315200000.0,17011170791.0,1.887,100,2.536904579005511,47.21,-0.63,12.893938723574871,69573758.0,-0.01,1088438400000,0.05,-6296026.0,43569472.0,0.78,0.779,62235.0,0.41,0.16,山东钢铁,30.642,10698849554,0,SH600022 山东钢铁
17,SH600023,,12854449.306179011,0.6988,11,10.1,False,0.01,0.8997,13408732749,4.25,8.03,96.4076,21.78,56987114183.0,1681315200000.0,56987114183.0,0.0,100,-4.077157816238305,-8.93,0.0,16.440929639706802,731342111.0,0.39,1387382400000,-0.2,225661808.0,176107127.0,3.22,0.9,66334.0,1.31,60.58,浙能电力,,13408732749,1,SH600023 浙能电力
18,SH600025,8.903641026280384,7480693.643649223,5.8186,11,0.0,False,0.01,2.313,18000000000,6.94,1.01,7.18,5.15,124920000000.0,1681315200000.0,124920000000.0,2.45,100,10.660253930539202,209.84,0.0,1.655000035563492,177779430.0,0.0,1513267200000,0.39,-9339229.0,25618098.0,1.02,2.313,78658.0,0.14,43.78,华能水电,18.0,18000000000,0,SH600025 华能水电
19,SH600026,50.02241653494204,3613016.471562142,3.5286,11,1.69,False,0.01,2.0854,3474776395,13.8,3.61,15.6346,14.52,47951914251.0,1681315200000.0,65836714251.0,1.087,100,4.844724790617424,435.84,0.07,10.362926474593026,523032459.0,0.23,1022083200000,0.31,19877184.0,38255314.0,0.92,2.085,84853.0,1.1,88.14,中远海能,45.176,4770776395,0,SH600026 中远海能
20,SH600027,-69.17246328397134,32843397.931299392,0.5693,11,2.67,False,0.01,1.6945,8176475953,6.16,4.67,6.3126,4.76,50367091870.0,1681315200000.0,60945250846.0,3.247,100,0.1643931686519318,241.07,0.33,4.559698800490186,590313953.0,0.16,1107360000000,0.01,122591708.0,96488480.0,1.27,1.692,73016.0,1.18,78.97,华电国际,610.607,9893709553,0,SH600027 华电国际
21,SH600028,4.790111906430239,125021988.28232694,0.2204,11,0.49,False,0.01,0.931,95115471046,6.1,2.47,6.2903,39.91,580204373381.0,1681315200000.0,731368086641.0,5.852,100,8.496558228822199,419.77,0.0,3.8832154942752384,936025782.0,0.03,997200000000,0.55,6052653.0,153636072.0,0.62,0.931,324306.0,0.16,3.32,中国石化,11.031,119896407646,0,SH600028 中国石化
22,SH600029,,16712289.028729176,1.6568,11,-0.5,False,0.01,3.5132,10219894539,7.96,2.12,41.6284,4.74,81350360530.0,1681315200000.0,144242345947.0,0.0,100,-60.1474147212279,246.25,0.0,-17.371739427047928,281609477.0,-0.04,1059062400000,-1.8,-27133992.0,35250272.0,0.76,2.745,227412.0,0.34,43.7,南方航空,,18120897732,0,SH600029 南方航空
23,SH600030,20.351784621867264,-47629134.12846762,4.7688,11,0.05,False,0.01,1.2972,11366683345,20.95,1.48,3.9541,5.22,238132016078.0,1681315200000.0,310490456068.0,2.339,100,9.222543861613918,2237.13,0.05,14.70619722837332,1008174941.0,0.01,1041782400000,1.44,8309872.0,48102498.0,0.59,1.297,733676.0,0.42,11.33,中信证券,14.565,14820546829,0,SH600030 中信证券
24,SH600031,-27.48761914241837,-104145031.77959672,1.784,11,-0.47,False,0.01,2.2194,8464215837,16.99,1.23,35.1783,7.53,143807027071.0,1681315200000.0,144187369458.0,0.942,100,6.642182361926794,3636.53,-0.06,2.221826444619923,731377737.0,-0.08,1057161600000,0.5,-65412527.0,42928612.0,0.62,2.221,687439.0,0.51,36.89,三一重工,33.745,8486602087,0,SH600031 三一重工
25,SH600032,20.04654363062923,-1199852.676245351,5.815,11,0.09,False,0.01,2.7752,208000000,11.58,1.73,11.0242,0.78,2408640000.0,1681315200000.0,24086400000.0,0.389,100,9.303502855110397,175.91,-0.09,27.910344243608364,42436606.0,0.01,1621872000000,0.37,-1653311.0,3680600.0,0.99,2.777,41951.0,1.77,43.87,浙江新能,31.681,2080000000,0,SH600032 浙江新能
26,SH600033,0.94366215581434,,2.878,11,0.0,False,0.01,0.7559,2744400000,2.94,1.02,3.7902,1.38,8068536000.0,,8068536000.0,5.102,100,8.09665356715503,163.51,0.0,-1.8600355361106269,32820350.0,0.0,981648000000,0.31,-1599197.0,11170884.0,1.1,0.756,32694.0,0.41,32.88,福建高速,9.513,2744400000,0,SH600033 福建高速
27,SH600035,5.5472464252554365,170673.40364781342,1.8258,11,-0.28,False,0.01,0.7633,1610115901,3.51,1.99,3.3825,3.54,5651506813.0,1681315200000.0,5651506813.0,3.989,100,10.475503011075856,85.85,0.29,1.813742495520532,40649761.0,-0.01,1078848000000,0.46,-7429098.0,11577521.0,0.82,0.763,31588.0,0.72,103.0,楚天高速,7.554,1610115901,0,SH600035 楚天高速
28,SH600036,14.117384961801529,-25645614.38743519,2.5155,11,1.12,False,0.01,1.0512,20628944429,34.39,2.26,1.5212,-7.7,709429398913.0,1681315200000.0,867310490218.0,5.054,100,15.298562060204585,1670.85,-0.06,8.530887803121434,2387857214.0,0.38,1018281600000,5.47,206454440.2,69392338.0,1.38,1.051,1809201.0,0.34,46.03,招商银行,6.284,25219845601,0,SH600036 招商银行
29,SH600037,13.655180924263744,18634818.488964807,5.6555,11,-0.5,False,0.01,1.0682,1391777884,10.05,3.66,20.1224,23.46,13987367734.0,1681315200000.0,13987367734.0,0.458,100,3.544010444584281,74.03,-0.2,-4.069868862170578,321175630.0,-0.05,981561600000,0.33,6201829.0,31923993.0,0.88,1.068,83727.0,2.29,83.55,歌华有线,30.6,1391777884,0,SH600037 歌华有线
30,SH600038,-13.020277963294758,-9181323.174683169,1.2814,11,0.26,False,0.01,2.5587,589476716,42.33,1.78,,-8.79,24952549388.0,1681315200000.0,24952549388.0,0.465,100,3.99499567234186,597.97,-0.05,7.22640903976981,297142854.0,0.11,977068800000,0.66,-21324774.0,6979546.0,1.3,2.559,158077.0,1.18,139.36,中直股份,64.465,589476716,0,SH600038 中直股份
31,SH600039,87.46971874205505,11934608.254391216,0.6799,11,1.51,False,0.01,2.1986,4742356089,14.76,2.2,6.863,32.73,69997175874.0,1681315200000.0,91887095511.0,6.165,100,31.080212004154657,1309.2,0.0,36.85681371233369,273802194.0,0.22,1048521600000,1.8,12270858.0,18641380.0,1.36,1.997,50618.0,0.39,32.02,四川路桥,8.195,6225412975,0,SH600039 四川路桥
32,SH600048,-13.101366167871342,-11186864.582795756,0.6417,11,-0.66,False,0.01,0.9633,11970443418,15.07,1.45,24.3042,-0.4,180394582309.0,1681315200000.0,180394582309.0,2.986,100,9.364794901596454,1707.6,-0.07,6.0064172892984935,570682099.0,-0.1,1154275200000,1.53,-16169330.0,37762018.0,0.54,0.919,480492.0,0.32,44.87,保利发展,9.832,11970443418,0,SH600048 保利发展
33,SH600050,13.5778972587006,-138682104.94693223,0.5197,11,0.87,False,0.01,1.195,30965652312,5.8,3.83,1.8137,29.46,179600783410.0,1681315200000.0,184465730175.0,1.845,100,4.808819575616656,220.42,0.0,6.904814791764258,2168287280.0,0.05,1034092800000,0.23,-34676401.0,373591679.0,0.81,1.196,326199.0,1.21,24.78,中国联通,25.271,31804436237,0,SH600050 中国联通
34,SH600051,-22.328235587824675,,0.8578,11,0.0,False,0.01,0.7003,310880000,7.33,1.23,,-2.79,2278750400.0,,2278750400.0,1.637,100,4.693893920287253,11.0,0.27,-11.81868450325342,18842380.0,0.0,860601600000,0.48,-795036.0,2571200.0,0.68,0.7,13129.0,0.83,0.0,宁波联合,15.197,310880000,0,SH600051 宁波联合
35,SH600052,,,14.9808,11,-1.81,False,0.01,1.2774,844194741,4.89,2.61,40.2345,-10.44,4128112283.0,,4128112283.0,0.0,100,-1.1599049206554295,0.28,-0.41,58.71108887629251,15800884.0,-0.09,861033600000,-0.05,-1616853.0,3210878.0,0.67,1.277,33420.0,0.38,0.0,东望时代,,844194741,0,SH600052 东望时代
36,SH600053,-48.53362123483564,1239341.8815434016,15.8679,11,-1.65,False,0.01,2.3458,433540800,15.49,2.67,46.6099,4.8,6715546992.0,1681315200000.0,6715546992.0,0.0,100,3.908160493129325,158.65,-0.19,-38.00144726386711,34377423.0,-0.26,861292800000,0.25,-3803240.0,2205508.0,1.03,2.347,28617.0,0.51,0.0,九鼎投资,61.243,433540800,0,SH600053 九鼎投资
37,SH600054,,-14559884.759624766,12.483,11,-4.13,False,0.01,2.4455,513300000,13.69,6.02,467.9988,7.46,7027077000.0,1681315200000.0,9985204534.0,0.745,100,-1.00118781495444,193.15,-0.15,-20.62828881694919,267193513.0,-0.59,862848000000,-0.06,-20990019.0,19536950.0,0.86,2.406,51906.0,3.81,0.0,黄山旅游,,729379440,0,SH600054 黄山旅游
38,SH600055,-2.398125254860828,6510313.758022816,15.8622,11,0.61,False,0.01,3.8116,540816199,24.55,2.38,161.8489,25.64,13277037685.0,1681315200000.0,17260148974.0,0.407,100,4.8386687007575935,1360.27,-0.04,2.5003549340168574,149729253.0,0.15,863971200000,0.24,-4497927.0,6094901.0,0.61,3.812,67817.0,1.13,0.0,万东医疗,103.973,703061058,0,SH600055 万东医疗
39,SH600056,-15.423539973188491,14558766.720837984,0.5643,11,0.44,False,0.01,1.8977,1495351478,13.74,1.32,18.756,-20.26,20546129308.0,1681315200000.0,20553387738.0,0.946,100,5.434257578813568,841.03,0.15,1.126609367491782,192847482.0,0.06,863625600000,0.39,6572204.0,14041239.0,0.8,1.898,142052.0,0.94,0.0,中国医药,35.55,1495879748,0,SH600056 中国医药
40,SH600057,36.85803426657368,10479951.232973488,0.0476,11,1.23,False,0.01,1.6836,2151296769,10.73,3.11,1.9436,4.48,23083414331.0,1681315200000.0,24290153438.0,4.529,100,16.185533319046442,523.29,0.0,24.5309822153962,105865886.0,0.13,865353600000,1.18,9268435.0,9888446.0,1.04,1.679,47595.0,0.46,0.0,厦门象屿,9.072,2263760805,0,SH600057 厦门象屿
41,SH600058,24.981573203393737,-267310.9384953223,0.1372,11,2.03,False,0.01,2.2423,1071910711,10.07,2.63,10.6057,16.96,10794140860.0,1681315200000.0,10794140860.0,0.0,100,5.680082393457693,155.01,0.1,8.102803931236814,109658238.0,0.2,864748800000,0.32,5398290.0,10944700.0,1.39,2.243,38096.0,1.02,0.0,五矿发展,31.784,1071910711,0,SH600058 五矿发展
42,SH600059,-1.2510106726063674,3784329.881784691,5.5707,11,-1.2,False,0.01,1.6428,911542413,9.9,2.4,43.6081,1.96,9024269889.0,1681315200000.0,9024269889.0,0.808,100,3.719647830744355,232.33,0.0,-2.71524172671358,90894351.0,-0.12,863712000000,0.22,-15617760.0,9171198.0,0.98,1.642,58523.0,1.01,0.0,古越龙山,44.702,911542413,0,SH600059 古越龙山
