,symbol,name,codename
136,SH600178,东安动力,SH600178 东安动力
137,SH600179,安通控股,SH600179 安通控股
138,SH600180,瑞茂通,SH600180 瑞茂通
139,SH600182,S*ST佳通,SH600182 S*ST佳通
140,SH600183,生益科技,SH600183 生益科技
141,SH600184,光电股份,SH600184 光电股份
142,SH600185,格力地产,SH600185 格力地产
143,SH600186,莲花健康,SH600186 莲花健康
144,SH600187,国中水务,SH600187 国中水务
145,SH600188,兖矿能源,SH600188 兖矿能源
146,SH600189,泉阳泉,SH600189 泉阳泉
147,SH600190,锦州港,SH600190 锦州港
148,SH600191,华资实业,SH600191 华资实业
149,SH600192,长城电工,SH600192 长城电工
150,SH600193,创兴资源,SH600193 创兴资源
151,SH600195,中牧股份,SH600195 中牧股份
152,SH600196,复星医药,SH600196 复星医药
153,SH600197,伊力特,SH600197 伊力特
154,SH600198,大唐电信,SH600198 大唐电信
155,SH600199,金种子酒,SH600199 金种子酒
156,SH600200,江苏吴中,SH600200 江苏吴中
157,SH600201,生物股份,SH600201 生物股份
158,SH600202,哈空调,SH600202 哈空调
159,SH600203,福日电子,SH600203 福日电子
160,SH600206,有研新材,SH600206 有研新材
161,SH600207,安彩高科,SH600207 安彩高科
162,SH600208,新湖中宝,SH600208 新湖中宝
163,SH600210,紫江企业,SH600210 紫江企业
164,SH600211,西藏药业,SH600211 西藏药业
165,SH600212,绿能慧充,SH600212 绿能慧充
166,SH600213,亚星客车,SH600213 亚星客车
167,SH600215,派斯林,SH600215 派斯林
168,SH600216,浙江医药,SH600216 浙江医药
169,SH600217,中再资环,SH600217 中再资环
170,SH600218,全柴动力,SH600218 全柴动力
171,SH600219,南山铝业,SH600219 南山铝业
172,SH600220,江苏阳光,SH600220 江苏阳光
173,SH600221,海航控股,SH600221 海航控股
174,SH600222,太龙药业,SH600222 太龙药业
175,SH600223,鲁商发展,SH600223 鲁商发展
176,SH600225,卓朗科技,SH600225 卓朗科技
177,SH600226,ST瀚叶,SH600226 ST瀚叶
178,SH600227,圣济堂,SH600227 圣济堂
179,SH600228,返利科技,SH600228 返利科技
180,SH600229,城市传媒,SH600229 城市传媒
181,SH600230,沧州大化,SH600230 沧州大化
182,SH600231,凌钢股份,SH600231 凌钢股份
183,SH600232,金鹰股份,SH600232 金鹰股份
184,SH600233,圆通速递,SH600233 圆通速递
185,SH600234,科新发展,SH600234 科新发展
186,SH600235,民丰特纸,SH600235 民丰特纸
187,SH600236,桂冠电力,SH600236 桂冠电力
188,SH600237,铜峰电子,SH600237 铜峰电子
189,SH600238,海南椰岛,SH600238 海南椰岛
190,SH600239,ST云城,SH600239 ST云城
191,SH600241,ST时万,SH600241 ST时万
192,SH600243,青海华鼎,SH600243 青海华鼎
193,SH600246,万通发展,SH600246 万通发展
194,SH600248,陕西建工,SH600248 陕西建工
195,SH600249,两面针,SH600249 两面针
196,SH600250,南纺股份,SH600250 南纺股份
197,SH600251,冠农股份,SH600251 冠农股份
198,SH600252,中恒集团,SH600252 中恒集团
199,SH600255,鑫科材料,SH600255 鑫科材料
200,SH600256,广汇能源,SH600256 广汇能源
201,SH600257,大湖股份,SH600257 大湖股份
202,SH600258,首旅酒店,SH600258 首旅酒店
203,SH600259,广晟有色,SH600259 广晟有色
204,SH600261,阳光照明,SH600261 阳光照明
205,SH600262,北方股份,SH600262 北方股份
206,SH600265,ST景谷,SH600265 ST景谷
207,SH600266,城建发展,SH600266 城建发展
208,SH600267,海正药业,SH600267 海正药业
209,SH600268,国电南自,SH600268 国电南自
210,SH600269,赣粤高速,SH600269 赣粤高速
211,SH600271,航天信息,SH600271 航天信息
212,SH600272,开开实业,SH600272 开开实业
213,SH600273,嘉化能源,SH600273 嘉化能源
214,SH600276,恒瑞医药,SH600276 恒瑞医药
215,SH600277,亿利洁能,SH600277 亿利洁能
216,SH600278,东方创业,SH600278 东方创业
217,SH600279,重庆港,SH600279 重庆港
218,SH600280,中央商场,SH600280 中央商场
219,SH600281,华阳新材,SH600281 华阳新材
220,SH600282,南钢股份,SH600282 南钢股份
